"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC278A","AC282A","AC286A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC279A","AC283A","AC290A","AC305A","AC309A","AC313A"
"1451","LOC106013411",2.1673081945275,-1.89440417338216,0.639504450054254,-2.96230022046202,0.00305349892439027,0.0407329601519628,4.08725227476725,2.08164170884346,2.08607498091378,0,0,1.95922666714286,0,1.922763613721,2.69921970598124,2.03459429599334,2.93631509962912,13.018105248449,3.9037800485633,0,4.80335681154863,0,0.910888155960826,0.969381023540893,0,1.00815129495619,1.22957956538087,0.898742688826146,2.70289328810863,2.76343019633354
"1456","LOC101858103",4.71467712502317,-1.21989784423651,0.412135259446742,-2.9599453487045,0.00307693620444021,0.0409145509536531,6.13087841215088,10.4082085442173,10.4303749045689,2.63727641389092,1.927575346135,1.95922666714286,1.5768241018837,3.845527227442,0,4.06918859198668,5.87263019925823,8.3687819454315,4.87972506070412,2.03965417196913,4.00279734295719,3.34020371528916,5.46532893576496,3.87752409416357,7.79973446325458,1.00815129495619,0,5.39245613295688,13.5144664405431,4.60571699388924
"1457","LOC101847982",1.54311391522762,-1.94753383037871,0.658120231330548,-2.95923713884514,0.00308401680766768,0.0409706447009029,1.02181306869181,1.04082085442173,2.08607498091378,0,0.963787673067501,0.979613333571431,0,0,0.674804926495311,1.01729714799667,2.93631509962912,6.5090526242245,1.95189002428165,2.03965417196913,2.40167840577431,0,1.82177631192165,0.969381023540893,0.974966807906823,1.00815129495619,0,0.898742688826146,4.05433993216294,3.68457359511139
"1461","LOC101847703",2.41219664616995,-1.51920587391022,0.514022101372619,-2.95552636716089,0.00312136015617508,0.041353215046492,2.04362613738363,3.12246256326519,4.17214996182756,0,0.963787673067501,0,0,3.845527227442,2.02441477948593,7.1210800359767,1.95754339975274,4.6493233030175,3.9037800485633,5.09913542992282,3.20223787436575,1.67010185764458,0,2.90814307062268,0,3.02445388486857,0,1.79748537765229,2.70289328810863,3.68457359511139
"1462","LOC101848829",7.14177477357312,-1.57878291865991,0.534474848160158,-2.95389563062624,0.00313790108780533,0.0415439216522298,1.02181306869181,2.08164170884346,4.17214996182756,4.3954606898182,1.927575346135,0.979613333571431,6.30729640753481,0.961381806860499,7.42285419144842,4.06918859198668,2.93631509962912,6.5090526242245,1.95189002428165,16.317233375753,9.60671362309725,2.50515278646687,2.73266446788248,2.90814307062268,4.87483403953411,3.02445388486857,4.91831826152346,39.5446783083504,33.7861661013578,6.44800379144493
"1464","LOC101856737",28.427914803386,-1.57799616076638,0.534353354170982,-2.95309489207669,0.00314605237793629,0.0415665459572251,25.5453267172953,45.7961175945561,8.34429992365513,1.75818427592728,4.8189383653375,2.93884000071429,20.4987133244881,61.528435639072,5.39843941196249,41.7091830678635,44.0447264944368,123.671999860266,30.2542953763656,24.4758500636295,16.8117488404202,4.17525464411145,8.19799340364743,0,38.0237055083661,18.1467233092114,6.14789782690433,73.696900483744,48.6520791859553,27.6343019633354
"1467","LOC101851539",11.8355735306252,-1.19747186668382,0.405604247093698,-2.95231589724256,0.00315400084178273,0.0415864034697184,13.2835698929936,20.8164170884346,14.6025248663965,4.3954606898182,6.74651371147251,0.979613333571431,9.46094461130221,18.2662543303495,10.796878823925,5.08648573998335,11.7452603985165,53.932150315003,10.7353951335491,17.3370604617376,8.00559468591438,2.50515278646687,2.73266446788248,1.93876204708179,9.74966807906823,9.07336165460572,9.83663652304692,11.6836549547399,22.9745929489233,7.36914719022278
"1468","LOC106011224",6.77526311500073,-1.46344186715525,0.495674945673089,-2.95242250981236,0.00315291194167158,0.0415864034697184,11.2399437556099,13.5306711074825,18.774674828224,2.63727641389092,0.963787673067501,0,11.0377687131859,2.8841454205815,2.02441477948593,4.06918859198668,10.7664886986401,17.6674285514665,4.87972506070412,8.15861668787651,1.60111893718288,0.835050928822289,0.910888155960826,0.969381023540893,8.7747012711614,12.0978155394743,1.22957956538087,10.7849122659138,12.1630197964888,4.60571699388924
"1470","LOC106012779",4.79613138477472,-1.74728531032085,0.591920630399144,-2.95189121748067,0.00315834176210782,0.0415869817328973,13.2835698929936,13.5306711074825,14.6025248663965,0,0.963787673067501,1.95922666714286,0,3.845527227442,4.72363448546718,2.03459429599334,8.80894529888735,1.859729321207,13.6632301699716,11.2180979458302,3.20223787436575,0.835050928822289,0,0,4.87483403953411,4.03260517982477,4.91831826152346,2.69622806647844,4.05433993216294,0
"1471","LOC101853257",6.41732610254107,-1.20546462970292,0.408473786719936,-2.95114317954858,0.00316600117724978,0.0416594961161433,13.2835698929936,3.12246256326519,5.21518745228445,1.75818427592728,3.85515069227,1.95922666714286,9.46094461130221,7.69105445488399,1.34960985299062,6.10378288798003,3.91508679950549,5.579187963621,6.83161508498578,4.07930834393825,13.6095109660544,3.34020371528916,1.82177631192165,0.969381023540893,4.87483403953411,6.04890776973715,4.91831826152346,24.266052598306,13.5144664405431,6.44800379144493
