contrast	gene	log2FoldChange
Hyp_T2h.Control	LOC101856232	0.3654718076276608
Hyp_T2h.Control	LOC118478018	-1.4096110128644699
Hyp_T2h.Control	LOC101853210	-2.3515559892824798
Hyp_T2h.Control	LOC101853662	-1.0601290127355052
Hyp_T2h.Control	LOC106012355	-0.9529167448182857
Hyp_T2h.Control	LOC101851619	-2.4596304265637556
Hyp_T2h.Control	LOC101861337	-2.5841429194408407
Hyp_T2h.Control	LOC101852070	-2.181278118841264
Hyp_T2h.Control	LOC101861704	-1.4612320606446108
Hyp_T2h.Control	LOC101862389	0.4242193514496938
Hyp_T2h.Control	LOC101845818	-2.2641862207419274
Hyp_T2h.Control	LOC101854134	-1.393375036950325
Hyp_T2h.Control	LOC101848257	0.43419443412692055
Hyp_T2h.Control	LOC101849263	-1.8936934352698915
Hyp_T2h.Control	LOC101849512	0.532353882738399
Hyp_T2h.Control	TRNAE-CUC	-1.6070167233522603
Hyp_T2h.Control	LOC101856553	-1.096299227996865
Hyp_T2h.Control	LOC101852746	0.69555399414159
Hyp_T2h.Control	LOC101852976	-2.715601441036212
Hyp_T2h.Control	LOC101853429	-1.0806214942838823
Hyp_T2h.Control	LOC106012581	-2.514191971077487
Hyp_T2h.Control	LOC101859616	-0.9870703695447379
Hyp_T2h.Control	LOC101861096	-0.9655009254247053
Hyp_T2h.Control	LOC101861785	-0.7454713980752391
Hyp_T2h.Control	LOC106012541	0.6430101401693309
Hyp_T2h.Control	LOC101845375	-1.2797700134890508
Hyp_T2h.Control	LOC101850223	0.854024590660924
Hyp_T2h.Control	LOC118478230	0.2562471115521843
Hyp_T2h.Control	LOC106012627	-1.0812979348840117
Hyp_T2h.Control	LOC101859295	1.0614515855584148
Hyp_T2h.Control	LOC106012609	-2.1664150992823106
Hyp_T2h.Control	LOC101860466	-0.4065466497097648
Hyp_T2h.Control	LOC101864354	-1.2642874170865999
Hyp_T2h.Control	LOC106012620	-3.942543247494515
Hyp_T2h.Control	LOC101848163	-0.5171819139148088
Hyp_T2h.Control	LOC101857995	-1.5715721346297669
Hyp_T2h.Control	LOC106012667	-2.9702308465819587
Hyp_T2h.Control	LOC101849343	2.394378918032723
Hyp_T2h.Control	LOC101852898	0.4153728845485738
Hyp_T2h.Control	LOC101859375	-1.3688609576870665
Hyp_T2h.Control	LOC101854223	0.7329834071407453
Hyp_T2h.Control	LOC101860782	-0.3283001290298075
Hyp_T2h.Control	LOC101862086	-1.2166652017851636
Hyp_T2h.Control	LOC101854303	-3.131739275551689
Hyp_T2h.Control	LOC101863478	-0.9414687914489882
Hyp_T2h.Control	LOC101855694	0.28915419847379764
Hyp_T2h.Control	LOC101846182	0.9197656773400864
Hyp_T2h.Control	LOC101846399	0.527735259169992
Hyp_T2h.Control	LOC101856393	-3.956210446266157
Hyp_T2h.Control	LOC101848488	0.5074254226544326
Hyp_T2h.Control	LOC101855395	-0.7026405914015974
Hyp_T2h.Control	LOC101858459	-0.7017851051809516
Hyp_T2h.Control	LOC106012939	-3.1041378805142017
Hyp_T2h.Control	LOC106012851	0.8062935026131122
Hyp_T2h.Control	LOC101859991	0.18289566613915692
Hyp_T2h.Control	LOC101857462	-2.19458560594038
Hyp_T2h.Control	LOC101863711	-0.5858821109456092
Hyp_T2h.Control	LOC101864433	0.5579041110744692
Hyp_T2h.Control	LOC101848260	-0.7493721548276706
Hyp_T2h.Control	LOC101858379	-0.7679948757429947
Hyp_T2h.Control	LOC101852530	-0.5102730093005435
Hyp_T2h.Control	LOC101853432	-0.8746288345745274
Hyp_T2h.Control	LOC101854225	-0.516343268454204
Hyp_T2h.Control	LOC101862393	0.27354539833228847
Hyp_T2h.Control	LOC101862626	-1.151638557493127
Hyp_T2h.Control	LOC101862990	0.7336118592037552
Hyp_T2h.Control	LOC101846552	0.6790447570341827
Hyp_T2h.Control	LOC101848167	-0.8417203409711278
Hyp_T2h.Control	LOC101848794	-0.8185178785238924
Hyp_T2h.Control	LOC101849265	-0.8907744786009063
Hyp_T2h.Control	LOC118478519	-1.5123584946121142
Hyp_T2h.Control	LOC101848637	-2.2428722115683146
Hyp_T2h.Control	LOC101859377	0.5161148233138639
Hyp_T2h.Control	LOC101848868	-3.1176144824714633
Hyp_T2h.Control	LOC106013176	-1.6746055849909114
Hyp_T2h.Control	LOC101849347	-1.9890067981482071
Hyp_T2h.Control	LOC101849818	-1.7725813580533822
Hyp_T2h.Control	LOC101850057	-1.7228962698714323
Hyp_T2h.Control	LOC101850299	-1.025104646321652
Hyp_T2h.Control	LOC101851239	-0.7806293160350836
Hyp_T2h.Control	LOC101862851	-1.6853472077340315
Hyp_T2h.Control	LOC101851700	-4.3111039887820946
Hyp_T2h.Control	LOC101863867	-1.3673307943314024
Hyp_T2h.Control	LOC101864356	0.6560984540071894
Hyp_T2h.Control	LOC101845062	1.423457471501472
Hyp_T2h.Control	LOC101847701	-0.3346707145075288
Hyp_T2h.Control	LOC101863157	-2.006287295694645
Hyp_T2h.Control	LOC101863404	-1.721261909260746
Hyp_T2h.Control	LOC101863640	1.0130624482847783
Hyp_T2h.Control	LOC101858831	-1.9456869786920983
Hyp_T2h.Control	LOC101859219	-1.459815898761478
Hyp_T2h.Control	LOC101845976	-1.768776072607722
Hyp_T2h.Control	LOC101859458	-0.7030356096136434
Hyp_T2h.Control	LOC101846184	-2.153173236789683
Hyp_T2h.Control	LOC101848489	-0.3079185054841697
Hyp_T2h.Control	LOC101861258	-0.6183070015506272
Hyp_T2h.Control	LOC101859537	-1.1385056389356407
Hyp_T2h.Control	LOC101851320	0.5084318965005723
Hyp_T2h.Control	LOC106013354	-1.8065119549976143
Hyp_T2h.Control	LOC101852750	-0.7182438798223496
Hyp_T2h.Control	LOC101860225	-1.3289694914368813
Hyp_T2h.Control	LOC101860944	-1.9565686912470077
Hyp_T2h.Control	LOC101861415	-2.685143177018335
Hyp_T2h.Control	LOC101861634	-1.447155478663713
Hyp_T2h.Control	LOC101856489	-3.0769105690791494
Hyp_T2h.Control	LOC101857306	0.7063521244604066
Hyp_T2h.Control	LOC101862992	-2.4615478443201413
Hyp_T2h.Control	LOC101858324	-1.4425026809714998
Hyp_T2h.Control	LOC106013374	-1.4537803930000868
Hyp_T2h.Control	LOC101864196	0.5852374777432352
Hyp_T2h.Control	LOC101864668	-1.4716695649454696
Hyp_T2h.Control	LOC101845379	0.33910189225551784
Hyp_T2h.Control	LOC101849268	0.6696334115316613
Hyp_T2h.Control	LOC101863158	-2.025483383323369
Hyp_T2h.Control	LOC101863641	-0.9527101685458883
Hyp_T2h.Control	LOC101864118	-0.8842110380265076
Hyp_T2h.Control	LOC101854545	-0.7587216948764157
Hyp_T2h.Control	LOC101855924	-1.7255985847823763
Hyp_T2h.Control	LOC101857000	0.3270533634104614
Hyp_T2h.Control	LOC101857464	-5.076620054748448
Hyp_T2h.Control	LOC101857924	-0.9294428716205523
Hyp_T2h.Control	LOC101858158	0.40606685065680936
Hyp_T2h.Control	LOC101855846	0.4771700659355551
Hyp_T2h.Control	LOC118478866	-2.35414642068651
Hyp_T2h.Control	LOC101861636	0.5717691866415677
Hyp_T2h.Control	LOC101857001	0.5937768081846044
Hyp_T2h.Control	LOC101863718	0.5797056443810071
Hyp_T2h.Control	LOC101864280	-0.8183558033970836
Hyp_T2h.Control	LOC101864670	-0.9351729238261131
Hyp_T2h.Control	LOC101845899	0.5064870667217912
Hyp_T2h.Control	LOC101846554	-0.7504465497475321
Hyp_T2h.Control	LOC101847554	-0.4761050318109295
Hyp_T2h.Control	LOC101848409	0.5185025693143139
Hyp_T2h.Control	LOC101850388	0.34201827829382153
Hyp_T2h.Control	LOC101845148	-1.0524198766603352
Hyp_T2h.Control	LOC101852667	0.539031297086469
Hyp_T2h.Control	LOC101853672	0.5845002146274688
Hyp_T2h.Control	LOC101854387	0.31740808074996085
Hyp_T2h.Control	LOC101859145	-0.5752443581874638
Hyp_T2h.Control	LOC101859379	0.46465042510376486
Hyp_T2h.Control	LOC101847632	-3.056642028776737
Hyp_T2h.Control	LOC101848094	-2.1993732527673777
Hyp_T2h.Control	LOC101849748	0.7738827110296967
Hyp_T2h.Control	LOC101850133	-1.2304172486265172
Hyp_T2h.Control	LOC101850389	-0.702973414127166
Hyp_T2h.Control	LOC101858000	-2.1584555286677047
Hyp_T2h.Control	LOC101855544	1.0355512584480404
Hyp_T2h.Control	LOC101856710	-2.4409720214784256
Hyp_T2h.Control	LOC101860307	-1.0500834614798953
Hyp_T2h.Control	LOC106013931	-1.4669834209967074
Hyp_T2h.Control	LOC106013932	-3.2998632400049037
Hyp_T2h.Control	LOC101863645	-0.8522690016333236
Hyp_T2h.Control	LOC106013968	-1.694719768263374
Hyp_T2h.Control	LOC101851915	-2.630767308800748
Hyp_T2h.Control	LOC101852145	-0.48829785270980647
Hyp_T2h.Control	LOC101847402	-0.7826130535681032
Hyp_T2h.Control	LOC101854229	-2.989302805893964
Hyp_T2h.Control	LOC106014022	-1.208436350221037
Hyp_T2h.Control	LOC101854924	-2.9753233802754324
Hyp_T2h.Control	LOC101863239	-1.78343093363177
Hyp_T2h.Control	LOC101855620	-2.6002615898515327
Hyp_T2h.Control	LOC101856239	0.3093006313025998
Hyp_T2h.Control	LOC101845825	-0.48426071854001185
Hyp_T2h.Control	LOC101846266	-1.316909430052637
Hyp_T2h.Control	LOC101860228	-1.0411448415136857
Hyp_T2h.Control	LOC118479156	-2.086918100563409
Hyp_T2h.Control	LOC101846943	-1.242419140486803
Hyp_T2h.Control	LOC101847174	-1.0782616562151914
Hyp_T2h.Control	LOC101862164	-0.6410476791750211
Hyp_T2h.Control	LOC101862322	-2.1753935198917342
Hyp_T2h.Control	LOC101849272	-3.1603490789314668
Hyp_T2h.Control	LOC118479159	-1.2325454276551253
Hyp_T2h.Control	LOC101850776	-0.7021378241149773
Hyp_T2h.Control	LOC101856713	-0.8287047861258396
Hyp_T2h.Control	LOC101862775	-2.6061202054065125
Hyp_T2h.Control	LOC101862998	-1.309782232224477
Hyp_T2h.Control	LOC106014181	-1.3083839715334948
Hyp_T2h.Control	LOC106014185	-1.299402358110387
Hyp_T2h.Control	LOC101851704	-0.7002537427713145
Hyp_T2h.Control	LOC101851918	-1.394498479946351
Hyp_T2h.Control	TRNAR-CCU	-1.673075775011659
Hyp_T2h.Control	LOC101846861	-0.5568923724089535
Hyp_T2h.Control	LOC101861183	-0.7371481516112786
Hyp_T2h.Control	LOC101862166	-0.4487195687277346
Hyp_T2h.Control	LOC106014188	-5.187680746201195
Hyp_T2h.Control	LOC101849667	-1.3458968339553539
Hyp_T2h.Control	LOC100533366	0.6138959020382166
Hyp_T2h.Control	LOC101845069	-0.49964563612843604
Hyp_T2h.Control	LOC101864592	-0.5301703504181269
Hyp_T2h.Control	LOC101857465	-1.071312740090492
Hyp_T2h.Control	LOC101858162	-0.8638524982853455
Hyp_T2h.Control	LOC101852001	-2.4714623943913945
Hyp_T2h.Control	LOC101859077	-2.1876526287550457
Hyp_T2h.Control	LOC118479181	0.7923469562347449
Hyp_T2h.Control	LOC101853060	0.6927360514526578
Hyp_T2h.Control	LOC100533260	0.4950608401923583
Hyp_T2h.Control	LOC101857928	-1.1451939963380087
Hyp_T2h.Control	LOC101858605	-3.4503149001828954
Hyp_T2h.Control	LOC101859079	-1.8457620216178914
Hyp_T2h.Control	LOC101860000	0.8663194827973303
Hyp_T2h.Control	LOC101849275	-0.9612064425224544
Hyp_T2h.Control	LOC101850778	0.7030544675829256
Hyp_T2h.Control	LOC101854067	-1.814796873387526
Hyp_T2h.Control	LOC100885792	-0.9704734184445492
Hyp_T2h.Control	LOC101853140	-2.241286818311759
Hyp_T2h.Control	LOC101862706	-0.9287409111133035
Hyp_T2h.Control	LOC101846408	0.6270176115404994
Hyp_T2h.Control	LOC118479194	-1.6064524507412412
Hyp_T2h.Control	LOC101849903	-3.4011965122418957
Hyp_T2h.Control	LOC101860234	-0.8981326698197116
Hyp_T2h.Control	LOC101860873	-0.8794523199014015
Hyp_T2h.Control	LOC106014222	-1.29598045004377
Hyp_T2h.Control	LOC101846268	-2.0967951435563625
Hyp_T2h.Control	RHO	0.32430902088174274
Hyp_T2h.Control	LOC101855000	-0.9449532163130352
Hyp_T2h.Control	LOC118477119	-1.1400535459872239
Hyp_T2h.Control	LOC101863723	-0.6025343363697596
Hyp_T2h.Control	LOC101853064	-2.864164019251368
Hyp_T2h.Control	LOC101845903	-2.982053434368127
Hyp_T2h.Control	LOC101854234	-1.9019967174493269
Hyp_T2h.Control	LOC101847704	-0.9180353903063259
Hyp_T2h.Control	LOC101850141	-0.6026527719135055
Hyp_T2h.Control	LOC101851709	-1.0664269623405076
Hyp_T2h.Control	LOC101848644	-1.284138449047737
Hyp_T2h.Control	LOC101845222	0.3874451390359372
Hyp_T2h.Control	LOC101850307	0.2808557471499318
Hyp_T2h.Control	LOC101847314	-3.508402985619957
Hyp_T2h.Control	LOC101853442	-3.402319774757861
Hyp_T2h.Control	LOC101848024	-1.6702040348775182
Hyp_T2h.Control	LOC101855625	-0.4445235225032676
Hyp_T2h.Control	TRNAH-GUG	-2.198892009962598
Hyp_T2h.Control	LOC118477212	-0.694435418951122
Hyp_T2h.Control	LOC101859152	-0.41898734294632883
Hyp_T2h.Control	LOC101860003	-0.5523672923021842
Hyp_T2h.Control	LOC101860479	-0.44661500470065185
Hyp_T2h.Control	LOC101861267	0.8116373704975419
Hyp_T2h.Control	LOC101849906	-2.24960504629898
Hyp_T2h.Control	LOC101850464	1.4620865164797385
Hyp_T2h.Control	LOC101850937	-0.31409463549517924
Hyp_T2h.Control	LOC101851474	-3.145052006706184
Hyp_T2h.Control	LOC101857546	-1.059670282536252
Hyp_T2h.Control	LOC106011026	-2.5899957878345017
Hyp_T2h.Control	LOC101858005	-0.7382640952486732
Hyp_T2h.Control	LOC101854391	-0.52839350644515
Hyp_T2h.Control	LOC101854624	0.9744733251623159
Hyp_T2h.Control	LOC101856321	-1.510732034072001
Hyp_T2h.Control	LOC101860311	-1.7440584370856775
Hyp_T2h.Control	LOC118477219	-1.6504573630284831
Hyp_T2h.Control	LOC101861023	-1.1319891924406764
Hyp_T2h.Control	LOC101848270	-0.8859255805358937
Hyp_T2h.Control	LOC101849753	0.48941085336110984
Hyp_T2h.Control	LOC101850142	0.439230441369164
Hyp_T2h.Control	LOC101850398	0.38703797384187616
Hyp_T2h.Control	LOC101852154	0.5031857043806012
Hyp_T2h.Control	LOC101852386	0.3298564517902885
Hyp_T2h.Control	LOC101856953	0.6501032873100374
Hyp_T2h.Control	LOC101857171	0.35472998923112753
Hyp_T2h.Control	LOC101857388	0.47507882048541955
Hyp_T2h.Control	LOC101858089	0.4123074838462514
Hyp_T2h.Control	LOC101858329	0.5122319545859019
Hyp_T2h.Control	LOC101862098	0.6084011496514801
Hyp_T2h.Control	LOC101862330	0.42357628347967885
Hyp_T2h.Control	LOC101845223	-0.7651830690283424
Hyp_T2h.Control	LOC106011041	-1.8176691788172885
Hyp_T2h.Control	LOC101847019	0.5881098988782404
Hyp_T2h.Control	LOC101847408	1.5304355112949224
Hyp_T2h.Control	LOC101848802	-0.6574417982314299
Hyp_T2h.Control	LOC101849277	1.0194934894485301
Hyp_T2h.Control	LOC101855405	-1.1600183097559285
Hyp_T2h.Control	LOC101855853	-2.1644056275861576
Hyp_T2h.Control	LOC118477231	-0.8427469264702238
Hyp_T2h.Control	LOC101850631	-1.2851428236690072
Hyp_T2h.Control	LOC101857231	-1.3868288425127966
Hyp_T2h.Control	LOC101851925	-0.8083525662500626
Hyp_T2h.Control	LOC101857468	-1.5270288456274523
Hyp_T2h.Control	LOC101857703	-1.5937264021670654
Hyp_T2h.Control	LOC101853527	-1.3472311973917965
Hyp_T2h.Control	LOC101851852	-0.4697238216913143
Hyp_T2h.Control	LOC101861874	-0.5188767128630822
Hyp_T2h.Control	LOC101862630	-0.8523896939806733
Hyp_T2h.Control	LOC101854625	-3.3973689795459463
Hyp_T2h.Control	LOC101847938	-0.7925953304159825
Hyp_T2h.Control	LOC101849907	0.3158398209284364
Hyp_T2h.Control	LOC101850144	0.36113344501851374
Hyp_T2h.Control	LOC101855547	-4.880230690820717
Hyp_T2h.Control	LOC106011047	-1.4674903947600104
Hyp_T2h.Control	LOC101858248	-0.49602648879005157
Hyp_T2h.Control	LOC101846270	-1.5976665582777279
Hyp_T2h.Control	LOC101846487	-2.125636096480052
Hyp_T2h.Control	LOC101860077	0.32293415022411565
Hyp_T2h.Control	LOC101846947	-1.4837883884974588
Hyp_T2h.Control	LOC101847177	-1.0263654558148014
Hyp_T2h.Control	LOC101847409	-2.4203128501451743
Hyp_T2h.Control	LOC101862331	-0.560176817682574
Hyp_T2h.Control	LOC101863327	0.4278181609580399
Hyp_T2h.Control	LOC101849436	-2.1882336526978596
Hyp_T2h.Control	LOC101855704	1.2581992300824836
Hyp_T2h.Control	LOC101850309	-2.6441845664637476
Hyp_T2h.Control	LOC101854002	0.27974648027708154
Hyp_T2h.Control	LOC101859155	-0.8435738627349759
Hyp_T2h.Control	LOC101859844	-2.8855286145504913
Hyp_T2h.Control	LOC118477243	-2.6827953991682345
Hyp_T2h.Control	LOC101860554	1.4094309731770667
Hyp_T2h.Control	LOC101861025	0.3630236950210651
Hyp_T2h.Control	LOC101861494	0.7785264332194619
Hyp_T2h.Control	LOC106011057	-1.5818751282426708
Hyp_T2h.Control	LOC101849824	-1.3742009300910634
Hyp_T2h.Control	LOC101863415	0.4307538139196194
Hyp_T2h.Control	LOC101845755	0.46623234063337127
Hyp_T2h.Control	LOC101852155	-1.9196116371907508
Hyp_T2h.Control	LOC101852604	-0.7060663090683721
Hyp_T2h.Control	LOC101861645	0.9617675049907085
