contrast	gene
Hyp_T2h.Control	LOC101863011
Hyp_T2h.Control	LOC101845909
Hyp_T2h.Control	LOC101856170
Hyp_T2h.Control	LOC101857099
Hyp_T2h.Control	LOC101855552
Hyp_T2h.Control	LOC101851489
Hyp_T2h.Control	LOC101853542
Hyp_T2h.Control	LOC101853922
Hyp_T2h.Control	LOC101856959
Hyp_T2h.Control	LOC101858480
Hyp_T2h.Control	LOC101846342
Hyp_T2h.Control	LOC101855553
Hyp_T2h.Control	LOC101851941
Hyp_T2h.Control	LOC101857781
Hyp_T2h.Control	LOC101858016
Hyp_T2h.Control	LOC101859092
Hyp_T2h.Control	LOC101852314
Hyp_T2h.Control	LOC101854632
Hyp_T2h.Control	LOC100533419
Hyp_T2h.Control	LOC101858621
Hyp_T2h.Control	LOC100533427
Hyp_T2h.Control	LOC101859924
Hyp_T2h.Control	LOC101861653
Hyp_T2h.Control	LOC101861882
Hyp_T2h.Control	LOC101855245
Hyp_T2h.Control	LOC101852917
Hyp_T2h.Control	LOC101855635
Hyp_T2h.Control	LOC101848036
Hyp_T2h.Control	LOC101851259
Hyp_T2h.Control	LOC101851572
Hyp_T2h.Control	LOC101853379
Hyp_T2h.Control	LOC101855246
Hyp_T2h.Control	LOC101845616
Hyp_T2h.Control	LOC101847647
Hyp_T2h.Control	LOC101847866
Hyp_T2h.Control	LOC101863806
Hyp_T2h.Control	LOC101864681
Hyp_T2h.Control	LOC101849043
Hyp_T2h.Control	LOC101862029
Hyp_T2h.Control	LOC101856016
Hyp_T2h.Control	psc1
Hyp_T2h.Control	LOC101857558
Hyp_T2h.Control	LOC101858483
Hyp_T2h.Control	LOC106011470
Hyp_T2h.Control	LOC101846126
Hyp_T2h.Control	LOC101852918
Hyp_T2h.Control	LOC101853380
Hyp_T2h.Control	LOC118477526
Hyp_T2h.Control	LOC101855555
Hyp_T2h.Control	LOC118477528
Hyp_T2h.Control	LOC101864137
Hyp_T2h.Control	LOC101845461
Hyp_T2h.Control	LOC101854633
Hyp_T2h.Control	LOC101852090
Hyp_T2h.Control	LOC101853078
Hyp_T2h.Control	LOC100533316
Hyp_T2h.Control	LOC101858774
Hyp_T2h.Control	LOC101848344
Hyp_T2h.Control	LOC101863577
Hyp_T2h.Control	LOC101846573
Hyp_T2h.Control	LOC101850241
Hyp_T2h.Control	LOC106011490
Hyp_T2h.Control	LOC101846876
Hyp_T2h.Control	LOC101856258
Hyp_T2h.Control	LOC101845767
Hyp_T2h.Control	LOC101862867
Hyp_T2h.Control	LOC118477541
Hyp_T2h.Control	LOC101851863
Hyp_T2h.Control	LOC101858403
Hyp_T2h.Control	LOC101859096
Hyp_T2h.Control	LOC101861945
Hyp_T2h.Control	LOC101848105
Hyp_T2h.Control	LOC101856886
Hyp_T2h.Control	LOC101858177
Hyp_T2h.Control	LOC101862868
Hyp_T2h.Control	LOC101863579
Hyp_T2h.Control	LOC101858178
Hyp_T2h.Control	LOC106011547
Hyp_T2h.Control	LOC101864060
Hyp_T2h.Control	LOC101847255
Hyp_T2h.Control	LOC101852236
Hyp_T2h.Control	LOC101858262
Hyp_T2h.Control	LOC101850558
Hyp_T2h.Control	LOC101845318
Hyp_T2h.Control	LOC101845845
Hyp_T2h.Control	LOC101853548
Hyp_T2h.Control	PC2
Hyp_T2h.Control	LOC101861035
Hyp_T2h.Control	LOC101856650
Hyp_T2h.Control	LOC101863260
Hyp_T2h.Control	LOC101863506
Hyp_T2h.Control	LOC101846576
Hyp_T2h.Control	LOC101850950
Hyp_T2h.Control	LOC101857249
Hyp_T2h.Control	LOC101863101
Hyp_T2h.Control	LOC101845846
Hyp_T2h.Control	LOC101848198
Hyp_T2h.Control	LOC101852403
Hyp_T2h.Control	LOC101847818
Hyp_T2h.Control	LOC101856340
Hyp_T2h.Control	LOC101846811
Hyp_T2h.Control	LOC101863262
Hyp_T2h.Control	LOC101864457
Hyp_T2h.Control	LOC106011630
Hyp_T2h.Control	LOC101851122
Hyp_T2h.Control	LOC101854163
Hyp_T2h.Control	LOC106011631
Hyp_T2h.Control	LOC101861121
Hyp_T2h.Control	LOC101862343
Hyp_T2h.Control	LOC101863581
Hyp_T2h.Control	LOC101864062
Hyp_T2h.Control	LOC101854164
Hyp_T2h.Control	LOC101863017
Hyp_T2h.Control	LOC101864458
Hyp_T2h.Control	LOC101845166
Hyp_T2h.Control	LOC101850715
Hyp_T2h.Control	LOC101853550
Hyp_T2h.Control	LOC101854496
Hyp_T2h.Control	LOC101855559
Hyp_T2h.Control	LOC100533429
Hyp_T2h.Control	LOC101847491
Hyp_T2h.Control	LOC118477621
Hyp_T2h.Control	LOC101860494
Hyp_T2h.Control	LOC101855017
Hyp_T2h.Control	LOC101860016
Hyp_T2h.Control	LOC100533384
Hyp_T2h.Control	LOC101850166
Hyp_T2h.Control	LOC101854325
Hyp_T2h.Control	LOC101847107
Hyp_T2h.Control	LOC101857333
Hyp_T2h.Control	LOC101863979
Hyp_T2h.Control	LOC101847108
Hyp_T2h.Control	LOC101854016
Hyp_T2h.Control	LOC106011708
Hyp_T2h.Control	LOC101847653
Hyp_T2h.Control	LOC101852624
Hyp_T2h.Control	LOC101860808
Hyp_T2h.Control	LOC100533359
Hyp_T2h.Control	LOC100533298
Hyp_T2h.Control	LOC101854569
Hyp_T2h.Control	LOC101856891
Hyp_T2h.Control	LOC101857567
Hyp_T2h.Control	LOC101862268
Hyp_T2h.Control	LOC101845544
Hyp_T2h.Control	LOC101846211
Hyp_T2h.Control	LOC118477667
Hyp_T2h.Control	LOC101854864
Hyp_T2h.Control	LOC101849287
Hyp_T2h.Control	LOC101852691
Hyp_T2h.Control	LOC101852925
Hyp_T2h.Control	LOC101857874
Hyp_T2h.Control	LOC101845999
Hyp_T2h.Control	LOC101848587
Hyp_T2h.Control	LOC101851187
Hyp_T2h.Control	LOC101855722
Hyp_T2h.Control	LOC101852926
Hyp_T2h.Control	LOC101857796
Hyp_T2h.Control	LOC101860569
Hyp_T2h.Control	LOC101857022
Hyp_T2h.Control	LOC101858106
Hyp_T2h.Control	LOC101859173
Hyp_T2h.Control	LOC101851040
Hyp_T2h.Control	LOC101845772
Hyp_T2h.Control	LOC101860097
Hyp_T2h.Control	LOC101864389
Hyp_T2h.Control	LOC100533261
Hyp_T2h.Control	LOC101859329
Hyp_T2h.Control	LOC101859936
Hyp_T2h.Control	LOC101847342
Hyp_T2h.Control	LOC101853461
Hyp_T2h.Control	LOC101860495
Hyp_T2h.Control	LOC101857799
Hyp_T2h.Control	LOC101858029
Hyp_T2h.Control	LOC101861207
Hyp_T2h.Control	LOC100533273
Hyp_T2h.Control	LOC101852929
Hyp_T2h.Control	LOC101860098
Hyp_T2h.Control	LOC101860814
Hyp_T2h.Control	LOC101846351
Hyp_T2h.Control	LOC101848355
Hyp_T2h.Control	LOC101850336
Hyp_T2h.Control	LOC101850566
Hyp_T2h.Control	LOC101855189
Hyp_T2h.Control	LOC101855423
Hyp_T2h.Control	LOC101859857
Hyp_T2h.Control	LOC101858030
Hyp_T2h.Control	LOC101859016
Hyp_T2h.Control	LOC101847822
Hyp_T2h.Control	LOC101848521
Hyp_T2h.Control	LOC101864225
Hyp_T2h.Control	LOC101849696
Hyp_T2h.Control	LOC101864622
Hyp_T2h.Control	LOC101846001
Hyp_T2h.Control	LOC101859707
Hyp_T2h.Control	LOC101852410
Hyp_T2h.Control	LOC101849766
Hyp_T2h.Control	LOC101851042
Hyp_T2h.Control	LOC101857486
Hyp_T2h.Control	LOC101845469
Hyp_T2h.Control	LOC101846138
Hyp_T2h.Control	LOC106011865
Hyp_T2h.Control	LOC101855102
Hyp_T2h.Control	LOC101845098
Hyp_T2h.Control	LOC101845329
Hyp_T2h.Control	LOC101856661
Hyp_T2h.Control	LOC101856898
Hyp_T2h.Control	LOC101863438
Hyp_T2h.Control	LOC100533434
Hyp_T2h.Control	LOC101860655
Hyp_T2h.Control	LOC101855646
Hyp_T2h.Control	LOC101856346
Hyp_T2h.Control	LOC101862418
Hyp_T2h.Control	LOC101848207
Hyp_T2h.Control	LOC101855563
Hyp_T2h.Control	LOC101854087
Hyp_T2h.Control	LOC101857951
Hyp_T2h.Control	LOC101859642
Hyp_T2h.Control	LOC101846654
Hyp_T2h.Control	LOC101849698
Hyp_T2h.Control	LOC101845697
Hyp_T2h.Control	LOC101849932
Hyp_T2h.Control	LOC101857409
Hyp_T2h.Control	LOC100533371
Hyp_T2h.Control	LOC101851954
Hyp_T2h.Control	LOC101861733
Hyp_T2h.Control	LOC101858034
Hyp_T2h.Control	LOC101862276
Hyp_T2h.Control	LOC118477797
Hyp_T2h.Control	LOC106011952
Hyp_T2h.Control	LOC106011957
Hyp_T2h.Control	LOC101854089
Hyp_T2h.Control	LOC101860820
Hyp_T2h.Control	LOC118477814
Hyp_T2h.Control	LOC101864303
Hyp_T2h.Control	LOC101845852
Hyp_T2h.Control	LOC101853857
Hyp_T2h.Control	LOC101855647
Hyp_T2h.Control	LOC101862586
Hyp_T2h.Control	LOC101849933
Hyp_T2h.Control	LOC101846142
Hyp_T2h.Control	LOC101846357
Hyp_T2h.Control	LOC101853169
Hyp_T2h.Control	jnk
Hyp_T2h.Control	LOC101855732
Hyp_T2h.Control	LOC118477829
Hyp_T2h.Control	LOC101862041
Hyp_T2h.Control	LOC101859177
Hyp_T2h.Control	LOC101859573
Hyp_T2h.Control	LOC101845004
Hyp_T2h.Control	LOC101845700
Hyp_T2h.Control	LOC101848115
Hyp_T2h.Control	LOC101852182
Hyp_T2h.Control	LOC101857414
Hyp_T2h.Control	LOC101859248
Hyp_T2h.Control	LOC101851417
Hyp_T2h.Control	LOC101852415
Hyp_T2h.Control	LOC101859574
Hyp_T2h.Control	LOC118477839
Hyp_T2h.Control	LOC101849543
Hyp_T2h.Control	LOC101853625
Hyp_T2h.Control	LOC101855956
Hyp_T2h.Control	LOC101859105
Hyp_T2h.Control	LOC101864395
Hyp_T2h.Control	LOC101846358
Hyp_T2h.Control	LOC101851197
Hyp_T2h.Control	LOC101848208
Hyp_T2h.Control	LOC101852099
Hyp_T2h.Control	LOC101853796
Hyp_T2h.Control	LOC101856270
Hyp_T2h.Control	LOC101858344
Hyp_T2h.Control	LOC101846741
Hyp_T2h.Control	LOC101862421
Hyp_T2h.Control	LOC101862656
Hyp_T2h.Control	LOC101846431
Hyp_T2h.Control	LOC101855649
Hyp_T2h.Control	LOC101857256
Hyp_T2h.Control	LOC101855110
Hyp_T2h.Control	LOC101863907
Hyp_T2h.Control	LOC100533219
Hyp_T2h.Control	LOC118477860
Hyp_T2h.Control	LOC101860580
Hyp_T2h.Control	LOC101861959
Hyp_T2h.Control	GPB5
Hyp_T2h.Control	LOC101857032
Hyp_T2h.Control	LOC101861445
Hyp_T2h.Control	LOC101864155
Hyp_T2h.Control	LOC101850811
Hyp_T2h.Control	LOC101852860
Hyp_T2h.Control	LOC101854094
Hyp_T2h.Control	LOC101845337
Hyp_T2h.Control	LOC101861446
Hyp_T2h.Control	LOC101855030
Hyp_T2h.Control	LOC101858637
Hyp_T2h.Control	LOC101862956
Hyp_T2h.Control	LOC101845107
Hyp_T2h.Control	LOC100533286
Hyp_T2h.Control	LOC101847119
