contrast	gene
Hyp_T2h.Control	LOC118478018
Hyp_T2h.Control	LOC101864579
Hyp_T2h.Control	LOC101845664
Hyp_T2h.Control	LOC100533447
Hyp_T2h.Control	LOC101850527
Hyp_T2h.Control	LOC101851843
Hyp_T2h.Control	LOC101852069
Hyp_T2h.Control	LOC101856946
Hyp_T2h.Control	LOC118478056
Hyp_T2h.Control	LOC101853210
Hyp_T2h.Control	LOC101853900
Hyp_T2h.Control	LOC106012355
Hyp_T2h.Control	LOC101858082
Hyp_T2h.Control	LOC101858229
Hyp_T2h.Control	LOC101858989
Hyp_T2h.Control	LOC106012456
Hyp_T2h.Control	LOC101859903
Hyp_T2h.Control	LOC101861094
Hyp_T2h.Control	LOC101861337
Hyp_T2h.Control	LOC101852070
Hyp_T2h.Control	LOC101861704
Hyp_T2h.Control	LOC101862389
Hyp_T2h.Control	LOC101863072
Hyp_T2h.Control	LOC101863228
Hyp_T2h.Control	LOC101853211
Hyp_T2h.Control	LOC101845594
Hyp_T2h.Control	LOC101854134
Hyp_T2h.Control	LOC101847304
Hyp_T2h.Control	LOC101847547
Hyp_T2h.Control	LOC101848257
Hyp_T2h.Control	LOC101849263
Hyp_T2h.Control	TRNAE-CUC
Hyp_T2h.Control	LOC101850222
Hyp_T2h.Control	LOC101856553
Hyp_T2h.Control	LOC101857163
Hyp_T2h.Control	LOC101852976
Hyp_T2h.Control	LOC101853429
Hyp_T2h.Control	LOC106012581
Hyp_T2h.Control	LOC106012582
Hyp_T2h.Control	LOC101859616
Hyp_T2h.Control	LOC101861096
Hyp_T2h.Control	LOC101861409
Hyp_T2h.Control	LOC101861785
Hyp_T2h.Control	LOC101863710
Hyp_T2h.Control	LOC106012541
Hyp_T2h.Control	KHC1
Hyp_T2h.Control	LOC101851383
Hyp_T2h.Control	LOC106012576
Hyp_T2h.Control	LOC118478230
Hyp_T2h.Control	LOC101862469
Hyp_T2h.Control	LOC101857298
Hyp_T2h.Control	LOC101857532
Hyp_T2h.Control	LOC118478240
Hyp_T2h.Control	LOC118478242
Hyp_T2h.Control	LOC106012609
Hyp_T2h.Control	LOC101863156
Hyp_T2h.Control	LOC101864354
Hyp_T2h.Control	LOC118478249
Hyp_T2h.Control	LOC101847165
Hyp_T2h.Control	LOC101847926
Hyp_T2h.Control	LOC101856624
Hyp_T2h.Control	LOC101848163
Hyp_T2h.Control	LOC101857995
Hyp_T2h.Control	LOC101849343
Hyp_T2h.Control	LOC101849584
Hyp_T2h.Control	LOC101858233
Hyp_T2h.Control	LOC101851697
Hyp_T2h.Control	LOC101852299
Hyp_T2h.Control	LOC101852665
Hyp_T2h.Control	LOC101852898
Hyp_T2h.Control	LOC101858681
Hyp_T2h.Control	LOC101859143
Hyp_T2h.Control	LOC101859375
Hyp_T2h.Control	LOC106012714
Hyp_T2h.Control	LOC101853516
Hyp_T2h.Control	LOC101853755
Hyp_T2h.Control	LOC101854223
Hyp_T2h.Control	LOC106012716
Hyp_T2h.Control	LOC100533340
Hyp_T2h.Control	LOC100533321
Hyp_T2h.Control	LOC101862086
Hyp_T2h.Control	LOC101862238
Hyp_T2h.Control	LOC101862766
Hyp_T2h.Control	LOC101854064
Hyp_T2h.Control	LOC101854303
Hyp_T2h.Control	LOC106012759
Hyp_T2h.Control	LOC101863229
Hyp_T2h.Control	LOC101863478
Hyp_T2h.Control	LOC118478329
Hyp_T2h.Control	LOC101854996
Hyp_T2h.Control	LOC106012825
Hyp_T2h.Control	LOC106012782
Hyp_T2h.Control	LOC101846399
Hyp_T2h.Control	LOC101846624
Hyp_T2h.Control	LOC118478361
Hyp_T2h.Control	LOC101848090
Hyp_T2h.Control	LOC101848488
Hyp_T2h.Control	LOC101856625
Hyp_T2h.Control	LOC101851782
Hyp_T2h.Control	LOC101851996
Hyp_T2h.Control	LOC101857081
Hyp_T2h.Control	LOC106012939
Hyp_T2h.Control	LOC101858827
Hyp_T2h.Control	LOC101856313
Hyp_T2h.Control	LOC101859617
Hyp_T2h.Control	LOC101859991
Hyp_T2h.Control	LOC101857462
Hyp_T2h.Control	LOC101863711
Hyp_T2h.Control	LOC101864433
Hyp_T2h.Control	LOC101857921
Hyp_T2h.Control	LOC101845144
Hyp_T2h.Control	LOC101847306
Hyp_T2h.Control	LOC101848260
Hyp_T2h.Control	LOC101849264
Hyp_T2h.Control	LOC101859070
Hyp_T2h.Control	LOC101853432
Hyp_T2h.Control	LOC101854225
Hyp_T2h.Control	LOC101859754
Hyp_T2h.Control	LOC101850226
Hyp_T2h.Control	LOC101850459
Hyp_T2h.Control	LOC101850694
Hyp_T2h.Control	LOC101861931
Hyp_T2h.Control	LOC101862160
Hyp_T2h.Control	LOC101862393
Hyp_T2h.Control	LOC101852748
Hyp_T2h.Control	LOC101862990
Hyp_T2h.Control	LOC101853216
Hyp_T2h.Control	LOC101853668
Hyp_T2h.Control	LOC101845744
Hyp_T2h.Control	LOC101846328
Hyp_T2h.Control	LOC101846552
Hyp_T2h.Control	LOC101848167
Hyp_T2h.Control	LOC101848794
Hyp_T2h.Control	LOC101854843
Hyp_T2h.Control	LOC101855076
Hyp_T2h.Control	LOC101849265
Hyp_T2h.Control	LOC118478519
Hyp_T2h.Control	LOC101858235
Hyp_T2h.Control	LOC101848406
Hyp_T2h.Control	LOC101848637
Hyp_T2h.Control	LOC106013176
Hyp_T2h.Control	LOC101849109
Hyp_T2h.Control	LOC101859905
Hyp_T2h.Control	LOC101849818
Hyp_T2h.Control	LOC101850057
Hyp_T2h.Control	LOC101860547
Hyp_T2h.Control	LOC101860784
Hyp_T2h.Control	LOC101850299
Hyp_T2h.Control	LOC106013106
Hyp_T2h.Control	LOC101851008
Hyp_T2h.Control	LOC101851239
Hyp_T2h.Control	LOC101851700
Hyp_T2h.Control	LOC101863867
Hyp_T2h.Control	LOC101864116
Hyp_T2h.Control	LOC101862010
Hyp_T2h.Control	LOC101855618
Hyp_T2h.Control	LOC106013261
Hyp_T2h.Control	LOC101863157
Hyp_T2h.Control	TRNAL-CAA
Hyp_T2h.Control	LOC101856555
Hyp_T2h.Control	LOC101857463
Hyp_T2h.Control	LOC101858155
Hyp_T2h.Control	LOC101858597
Hyp_T2h.Control	LOC101858831
Hyp_T2h.Control	LOC101845298
Hyp_T2h.Control	LOC101859219
Hyp_T2h.Control	LOC101845746
Hyp_T2h.Control	LOC101859458
Hyp_T2h.Control	LOC101859684
Hyp_T2h.Control	LOC101846184
Hyp_T2h.Control	LOC101846859
Hyp_T2h.Control	LOC101847307
Hyp_T2h.Control	LOC101848261
Hyp_T2h.Control	LOC101848936
Hyp_T2h.Control	LOC106013250
Hyp_T2h.Control	LOC101861486
Hyp_T2h.Control	LOC101859537
Hyp_T2h.Control	LOC101851320
Hyp_T2h.Control	LOC101852075
Hyp_T2h.Control	LOC106013354
Hyp_T2h.Control	LOC101860225
Hyp_T2h.Control	LOC101853992
Hyp_T2h.Control	LOC106013362
Hyp_T2h.Control	LOC101854468
Hyp_T2h.Control	LOC101861415
Hyp_T2h.Control	LOC101861634
Hyp_T2h.Control	LOC106013319
Hyp_T2h.Control	LOC101861864
Hyp_T2h.Control	LOC101856489
Hyp_T2h.Control	LOC101857306
