"","RSB441-01","RSB441-03","RSB441-04","RSB441-07","RSB441-08","RSB441-09","RSB441-10","RSB441-11","RSB441-12","RSB443-01","RSB443-02","RSB443-05"
"ssa-miR-153b-3p_MIMAT0032391_Salmo_salar_miR-153b-3p ",14.7628601524483,20.1720533929796,21.938397000063,31.8242809435251,21.1288022806326,33.7392712912356,29.4444382709205,18.5666206467907,39.9929608892727,12.8049419311172,21.9219604342379,23.443098911405
"ssa-miR-29c-3p_MIMAT0032591_Salmo_salar_miR-29c-3p ",13.4207819567712,18.0486793516133,16.8194377000483,20.4584663208376,21.1288022806326,22.4928475274904,17.3989862509985,23.2082758084884,18.9966564224045,32.4391862254968,18.6742625921286,17.7407235005227
"ssa-miR-33a-5p_MIMAT0032618_Salmo_salar_miR-33a-5p ",14.7628601524483,6.37012212409881,9.50663870002731,12.5023960849563,17.9594819385377,7.1568151223833,9.36868490438378,15.0853792755175,14.9973603334773,7.68296515867029,9.74309352632797,10.7711535538888
"ssa-miR-33b-3p_MIMAT0032621_Salmo_salar_miR-33b-3p ",124.813272197972,78.5648395305519,87.7535880002521,132.980031085444,108.813331745258,87.9265857892806,86.9949312549923,84.7102067009828,75.9866256896181,158.781279945853,138.839082750174,101.37556286013
"ssa-miR-99-5p_MIMAT0032718_Salmo_salar_miR-99-5p ",4.02623458703135,5.30843510341567,2.9251196000084,10.2292331604188,6.33864068418977,7.1568151223833,8.03030134661467,5.80206895212211,4.99912011115909,14.5122675219328,12.17886690791,12.6719453575162
"ssc-let-7a_MIMAT0013865_Sus_scrofa_let-7a ",591.856484293608,662.492700906276,763.456215602193,509.188495096402,555.687499980636,617.530904845645,584.873614745102,712.494067320595,674.881215006477,554.027154219669,736.415485698289,645.635615965452
"ssc-let-7c_MIMAT0002151_Sus_scrofa_let-7c ",532.805043683815,641.258960492613,755.41213670217,517.144565332283,519.768536103561,591.970850837133,564.797861378565,661.43586054192,638.887550206131,528.417270357435,735.603561237762,572.771930159734
"ssc-miR-100_MIMAT0013911_Sus_scrofa_miR-100 ",583.804015119545,370.528770218414,493.613932501418,523.964054105896,564.139020892889,558.231579545897,615.656436573791,375.974068097513,426.924857492986,502.8073864952,574.030593592823,629.162087000681
"ssc-miR-124a_MIMAT0002156_Sus_scrofa_miR-124a ",328.809157940893,351.418403846117,337.120033900968,384.164534246839,331.722195805931,374.199190684613,317.19690319128,329.557516480536,326.942455269804,329.513839027415,297.97627701353,340.241732849311
"ssc-miR-184_MIMAT0002127_Sus_scrofa_miR-184 ",904.560703886376,652.937517720128,701.297424102014,824.021560144847,881.071055102377,840.414575799868,831.136189374619,711.333653530171,733.870832318154,577.929712491088,470.916187105852,484.701909924996
"ssc-miR-29b_MIMAT0002137_Sus_scrofa_miR-29b ",5.36831278270846,12.7402442481976,14.625598000042,15.9121404717626,12.6772813683795,12.2688259240857,8.03030134661467,4.64165516169769,16.9970083779409,21.3415698851953,12.17886690791,13.9391398932679
"ssc-miR-99b_MIMAT0006018_Sus_scrofa_miR-99b ",161.049383481254,85.9966486753339,115.542224200332,121.614216462757,136.28077471008,110.419433316771,212.802985685289,77.7477239584363,91.9838100453272,81.9516283591498,129.095989223846,127.986648110914
"str-miR-124-3p_MIMAT0033439_Strongyloides_ratti_miR-124-3p ",41.6044240659906,37.1590457239097,32.9075955000945,45.4632584907502,43.3140446752967,40.8960864136189,22.7525204820749,46.4165516169769,33.9940167558818,137.439710060657,43.0319964079485,38.6494333404245
"str-miR-34a-5p_MIMAT0033484_Strongyloides_ratti_miR-34a-5p ",29.5257203048965,54.1460380548398,47.5331935001365,55.692491651169,70.7814876401191,73.612955544514,58.8888765418409,77.7477239584363,86.9846899341681,122.927442538725,55.2108633158585,46.2526005549342
"str-miR-71-5p_MIMAT0033317_Strongyloides_ratti_miR-71-5p ",193.259260177505,211.275717115944,155.031338800445,177.306708113926,183.820579841503,177.897975899242,157.929259816755,185.666206467907,171.969731823873,193.781454557573,170.50413671074,178.674429540979
"str-miR-72-5p_MIMAT0033346_Strongyloides_ratti_miR-72-5p ",29.5257203048965,9.55518318614821,16.8194377000483,7.95607023588128,4.22576045612651,8.17921728272377,13.3838355776911,6.96248274254653,11.9978882667818,5.12197677244686,12.17886690791,3.80158360725487
"tca-let-7-5p_MIMAT0008354_Tribolium_castaneum_let-7-5p ",64.4197533925016,57.3310991168893,78.2469493002248,43.1900955662127,70.7814876401191,74.6353577048544,29.4444382709205,64.9831722637676,61.9890893783727,173.293547467785,84.4401438948424,55.7565595730714
"tca-miR-100-5p_MIMAT0008369_Tribolium_castaneum_miR-100-5p ",2500.29167854647,1569.17341656967,1957.63629230562,1661.68209783692,1920.6081273095,1612.32820685692,1826.89355635484,1304.30510043705,1496.73656128103,1637.32524159218,2444.70455064779,2954.46406010491
"tca-miR-124-3p_MIMAT0008370_Tribolium_castaneum_miR-124-3p ",352.966565463081,398.132632756175,345.895392700994,430.764374199858,328.552875463836,348.639136676101,325.227204537894,337.680413013507,342.939639625513,410.611804591157,349.93944248728,375.08958258248
"tca-miR-137-3p_MIMAT0008373_Tribolium_castaneum_miR-137-3p ",123.471194002295,129.525816523342,113.348384500326,109.1118203778,100.361810833005,126.777867882218,163.282794047832,111.399723880744,105.981346356573,73.4150004050717,125.036366921209,131.788231718169
"tca-miR-184-3p_MIMAT0008374_Tribolium_castaneum_miR-184-3p ",2052.03756119031,1606.33246229358,1673.16841120481,2040.16372477241,1967.09149232689,1815.78623676468,2248.48437705211,1861.30371984077,1966.65385172998,675.247271167578,1115.58420876455,1144.91026305159
"tca-miR-2-3p_MIMAT0008353_Tribolium_castaneum_miR-2-3p ",42.9465022616677,30.7889235998109,60.6962317001744,44.3266770284814,40.1447243332019,42.9408907342998,52.1969587529954,58.0206895212211,56.9899692672136,61.4637212693623,57.6466366974405,53.855767769444
"tca-miR-317-3p_MIMAT0008390_Tribolium_castaneum_miR-317-3p ",71.1301443708871,53.0843510341567,55.5772724001597,80.6972838210815,69.7250475260874,63.3889339411092,58.8888765418409,81.2289653297095,77.9862737340817,54.6344189060999,86.8759172764244,71.5964912699667
