"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178Pp","AC185Pp","AC186Pp","AC175Pp","AC176Pp","AC180Pp"
"11","LOC101855937",324.64148831378,-5.29809021773149,0.349702882354724,-15.1502617938314,7.54654017114924e-52,9.48188470049579e-49,22.5427551301491,7.82643792272777,18.0539997025749,622.168558962699,567.19624828737,710.060929877162
"12","LOC101861925",952.306570283482,-4.97266437809829,0.334205779812858,-14.8790496109397,4.50858514485673e-50,5.19276294058874e-47,54.3075464499046,63.5898081221631,58.4099990377422,1075.44217268494,2717.44800129389,1744.64189411225
"13","LOC101853210",386.146853374252,-6.8757488951916,0.488899951285597,-14.0637136025711,6.34664392291252e-45,6.74745889681338e-42,7.17269481413834,3.91321896136388,8.49599986003522,653.204809583808,415.356147277798,1228.73824974837
"14","LOC101854731",584.907870804448,-4.83951756611733,0.349551529132285,-13.84493318662,1.36507616858537e-43,1.3476226947156e-40,21.518084442415,60.6548939011402,36.1079994051497,944.079437497923,1509.58448810162,937.50232147844
"15","LOC101854709",814.577421687471,-4.28594488475229,0.315695835205508,-13.5761844370303,5.54401873279066e-42,5.10825886039331e-39,95.2943739592666,64.5681128625041,78.5879987053258,1023.47449722634,2177.68093254374,1447.85861482765
"16","LOC106012394",440.910496751726,-4.47504553241987,0.332664429712199,-13.452131134944,2.99125231744757e-41,2.58388114246518e-38,28.6907792565534,49.8935417573895,35.0459994226453,1080.49458557675,555.440885628565,895.89718886845
"17","LOC101846602",529.0373722311,-4.32384966284237,0.329055385258496,-13.1401881158872,1.93744493603829e-39,1.57514273299913e-36,37.9128154461598,49.8935417573895,62.6579989677598,744.870014906618,819.93654545169,1458.95331685698
"18","LOC101861296",222.415505720637,-5.67656664753289,0.433628368984141,-13.0908562574708,3.71397217337794e-39,2.85171163379203e-36,1.02467068773405,8.80474266306874,15.929999737566,373.156780723567,525.07286542665,410.503975085234
"19","LOC101855230",382.689137813373,-3.48913762045913,0.272982887669918,-12.7815250627654,2.07951488239398e-37,1.51268290471406e-34,48.1595223235003,73.3728555255728,65.843998915273,655.370129394583,690.627556204829,762.760764516482
"20","LOC101858348",185.39861258166,-6.26487967931239,0.494000788802259,-12.681922420614,7.44823810063684e-37,5.14710493944509e-34,3.07401206320215,5.86982844204582,5.30999991252202,264.890790184815,480.990255456129,352.256789431248
