"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178A","AC186A","AC176A","AC180A"
"12","LOC106012394",562.830522270395,-7.13219458714322,0.464817828643154,-15.3440641637236,3.88116034798324e-53,3.91673765117309e-50,6.66025771282931,9.3277132211787,1156.74168587579,1078.59243227179
"13","LOC101854709",733.13135940974,-4.69894071731871,0.311398196151918,-15.0898135422284,1.88975579676012e-51,1.76038020759731e-48,68.8226630325696,39.6427811900095,1509.14674733224,1314.91324608414
"14","LOC101855274",520.597830235761,-4.86302483943119,0.325097505084882,-14.9586655184003,1.36740571962047e-50,1.18280594747171e-47,42.1816321812523,26.8171755108888,1018.62327562196,994.769237628942
"15","LOC101854731",579.420819945196,-6.65266828796401,0.45848107503429,-14.5102353188002,1.04361934616121e-47,8.42548685467486e-45,7.77030066496753,15.1575339844154,1489.85079295854,804.904652172859
"16","LOC101859366",424.106009054848,-5.00657314610353,0.346634860889401,-14.4433630629579,2.76037694398002e-47,2.08926029947488e-44,25.530987899179,25.6512113582414,740.355302022343,904.886534939626
"17","LOC101848347",3311.80553915413,-3.2483845672852,0.227041876708414,-14.3074247552008,1.96661910352194e-46,1.40092690256769e-43,606.083451867467,655.271853787804,6010.18199913337,5975.68485182787
"18","LOC101855371",406.058059373479,-4.41451337820083,0.3196891401235,-13.8087686572508,2.25655799753813e-43,1.51816207501037e-40,37.7414603726994,34.9789245794201,774.8849045858,776.626947955996
"19","LOC106011005",693.865065633883,-7.78752374656837,0.567388711589308,-13.7252003564801,7.17305704649665e-43,4.57188004384602e-40,6.66025771282931,5.82982076323669,1964.12503993308,798.845144126389
"20","LOC101845452",528.989200270537,-4.26257883460148,0.312014625882647,-13.6614712292516,1.72463742831511e-42,1.0442679628448e-39,47.7318469419434,57.1322434797196,1149.6326500539,861.460060606586
"21","LOC101847784",1279.99125822829,-3.44052438285655,0.254036626185517,-13.5434186578435,8.6660049927097e-42,4.9973962124626e-39,197.587645480603,234.358794682115,2533.86348223011,2154.15511052034
"22","LOC101856344",309.507247778878,-6.37081197676018,0.489464194805245,-13.0158897103701,9.93780181138388e-39,5.47030817890267e-36,7.77030066496753,6.99578491588403,589.034396670726,634.228508863934
"23","LOC101855230",522.715202155644,-4.04138711849423,0.312152339540566,-12.9468423156541,2.44818737162198e-38,1.28902387262357e-35,51.0619757983581,68.7918850061929,842.928533166728,1128.0784146513
"24","LOC101851682",802.144479162805,-3.37888130577113,0.262027127914844,-12.8951583473801,4.79277671307848e-38,2.41835524980752e-35,128.764982448033,152.741303996801,1509.14674733224,1417.92488287415
"25","LOC101855596",770.472026921284,-4.01031407273546,0.314863144515526,-12.7366893921677,3.69754793645988e-37,1.79109222042117e-34,109.894252261684,69.9578491588403,1728.51128126479,1173.52472499983
"26","LOC101846602",435.790291104153,-4.10648248872424,0.323528146245333,-12.6928137053345,6.48147224908191e-37,3.018870343707e-34,44.4017180855287,51.3024227164829,956.673106316938,690.783917297661
"27","LOC101845676",526.661335682587,-3.67677483933865,0.290061552594492,-12.6758434768458,8.04881914790888e-37,3.61004444004358e-34,65.4925341761549,87.4473114485503,1000.34289779425,953.362599311392
"28","LOC101860873",332.185862359275,-4.54900696089653,0.360854161418024,-12.6062200391998,1.95129500842227e-36,8.43935091142633e-34,33.3012885641466,20.9873547476521,713.950311826759,560.504494298541
"29","LOC101858348",371.85735688206,-7.34396302393,0.590941994665663,-12.427553110496,1.85217288850654e-35,7.73441851028076e-33,4.44017180855287,4.66385661058935,871.364676454281,606.960722654816
"30","LOC106013217",980.000053591956,-3.85912007753498,0.314569738894649,-12.2679317187195,1.34649011627133e-34,5.43533176934861e-32,93.2436079796104,159.737088912685,2176.38053804373,1490.6389794318
"31","LOC100533519",666.281377901128,4.10930962358552,0.337964523714655,12.1589969811596,5.13857266938926e-34,2.00735854923561e-31,1097.8324796647,1421.3103020771,99.526501506433,46.4562283562755
"32","LOC101853210",372.084274554042,-5.8021676012989,0.482448418200268,-12.0265035233059,2.57851106050465e-33,9.75805279459729e-31,11.1004295213822,15.1575339844154,1036.90365344967,425.175481260695
"33","LOC101848384",710.636934520255,-3.36770032528834,0.28456285251542,-11.8346449493293,2.58434775055699e-32,9.48377310886215e-30,104.344037500993,146.911483233565,1421.80716437761,1169.48505296885
"34","LOC101856061",873.630656360486,-3.06707234819923,0.26189568047014,-11.7110459504082,1.1189071058281e-31,3.98528383869949e-29,198.697688432741,173.728658744453,1710.23090343707,1411.86537482768
"35","LOC101861296",234.244479670891,-6.67063869316878,0.591958561513676,-11.2687595498434,1.8718843059625e-29,6.47671969863026e-27,3.33012885641466,5.82982076323669,490.523471710277,437.294497353636
"36","LOC101848115",518.791445023158,-3.12441058611938,0.280292875852316,-11.1469496918844,7.41032708828498e-29,2.49275169553142e-26,115.444467022375,97.9409888223764,996.280591610314,865.499732637567
"37","LOC101846325",1649.77001377549,-8.49219535420702,0.76651827868379,-11.0789208690355,1.58774639924198e-28,5.19665105265415e-26,6.66025771282931,11.6596415264734,2017.95059687023,4562.80955899245
