"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC169A","AC170A","AC174A"
"27","LOC106013117",92.8189605128019,-1.99471244394312,0.330535438885077,-6.03479146039967,1.59168103150268e-09,5.95111852334058e-07,53.6520977841093,21.1441097287043,36.8841054858671,154.082318857295,136.876493712473,154.274637508363
"28","LOC101857842",41.0326238192907,-2.53280386751499,0.435326427916913,-5.81817161809988,5.94948017472794e-09,2.14500008442423e-06,15.3291707954598,11.1284788045812,9.76343968743541,96.4324716657903,58.5036626351699,55.0385193273077
"29","LOC106014052",41.9882737030873,-2.73131384430693,0.473001574874954,-5.77442864757692,7.72146410389727e-09,2.68786828030493e-06,20.8038746509812,7.78993516320683,4.33930652774907,93.2879345462536,67.3344041650068,58.3741871653264
"30","LOC100533336",764.119633177552,1.21000096782391,0.212995814906032,5.68086733703068,1.34013396489711e-08,4.50955079187877e-06,884.712143052251,1150.68470839369,1165.10380270063,467.487851771114,498.936896435788,417.792396711836
"31","LOC101859459",2225.94350630394,1.18397057731734,0.208786071143312,5.67073546062688,1.42185804327251e-08,4.6302119183342e-06,2605.95903522816,3684.63933219683,2983.27323782749,1251.52577357558,1455.96850973187,1374.29514926368
"32","LOC101863527",254.518844205743,-1.55938187377453,0.27679810621511,-5.6336435790593,1.76441489524183e-08,5.56617761483322e-06,151.101826412389,89.0278304366495,146.451595311531,325.983681391965,483.483098758574,331.065032923351
"33","LOC101848074",760.984701632307,-1.75388746569597,0.313124316010379,-5.60124965075479,2.12811976471539e-08,6.51011182569753e-06,486.153702370296,319.38734169148,238.661859026199,1704.33911878886,764.962985022127,1052.40320289488
"34","LOC101864001",25.8487972801355,-2.97337702737813,0.532605120205271,-5.58270454897648,2.36806839875154e-08,7.03107367217552e-06,7.6645853977299,4.45139152183247,5.42413315968634,51.3607729524318,35.3229661193479,50.8689345297844
"35","LOC101845529",50.5295081168244,2.31503765911898,0.418161429495606,5.53622954157063,3.09052476600776e-08,8.71744513369071e-06,75.5509132061947,92.3663740780238,84.6164772911069,5.24089519922773,25.3883818982813,20.0140070281119
"36","LOC101849797",243.105547294301,1.45715608456888,0.263252687886133,5.53519926527457,3.10874715020174e-08,8.71744513369071e-06,250.741436582878,447.364847944164,371.010708122546,128.926021901002,134.668808330014,125.921460885204
"37","LOC101857879",150.396410633594,-1.99714612700185,0.363199304895814,-5.49876087338533,3.82469383533429e-08,1.04352119642432e-05,78.8357355195075,44.5139152183247,57.4958114926752,339.610008909957,115.90348257911,266.019510081987
"38","LOC101859700",1273.06494439067,1.10754376709073,0.201804090785327,5.48821266596079,4.06021061157043e-08,1.07862700325799e-05,1581.09447347457,1673.72321220901,1962.45137717452,720.09900037389,862.101141850334,838.92046126169
"39","LOC101852464",22.1330261186545,3.14890912411555,0.574343588394699,5.48262257600335,4.19066444646007e-08,1.08473737402601e-05,32.8482231331281,46.739610979241,40.1385853816789,4.19271615938218,2.20768538245924,6.6713356760373
"40","LOC101864270",403.22769705456,-1.58457370892355,0.291209955566689,-5.44134456474885,5.28799206901617e-08,1.33455699841796e-05,232.127443474105,121.300418969935,251.679778609446,623.6665287081,452.575503404144,738.016509161626
"41","LOC101848440",70.4504634601697,1.82873113061037,0.336662644969557,5.43193953334423,5.57448133115143e-08,1.37254607409692e-05,95.2598470860716,144.670224459555,90.0406104507933,25.1562969562931,34.2191234281182,33.3566783801865
"42","LOC101849536",49.7351109993923,-2.29871000447837,0.431355094583162,-5.32904336437643,9.87314233315474e-08,2.37308028221898e-05,29.5634008198153,5.56423940229059,15.1875728471218,88.0470393470259,84.9958872246808,75.0525263554196
"43","LOC101850492",27.3033057369685,2.82475640458534,0.532716997426833,5.30254603894691,1.14198653530689e-07,2.68101257533093e-05,52.557157013005,58.9809376642803,31.4599723261808,8.38543231876437,9.93458422106658,2.50175087851399
"44","LOC101849075",235.581637860753,1.69817409755243,0.321146748799001,5.28784458788117,1.23766060257916e-07,2.83958722341741e-05,209.133687280916,510.797177130276,361.24726843511,85.9506812673348,103.761212975584,142.599800075297
"45","GnRH",557.344014420577,1.81745826209211,0.34429295030145,5.27881346539569,1.30023083364629e-07,2.87176378992737e-05,709.521619675568,1317.61189046241,577.127768190627,166.660467335442,386.344941930367,186.797398929044
"46","LOC118478732",93.2892929372196,4.30201190136972,0.815139272148907,5.27764033504184,1.30857983493471e-07,2.87176378992737e-05,314.248001306926,107.946244404437,110.652316457601,14.6745065578376,2.20768538245924,10.007003514056
"47","LOC101847991",437.352150808266,-1.59225069729674,0.303066266156721,-5.25380378848685,1.48989604367644e-07,3.13343761685702e-05,277.020015089381,171.37857359055,205.032233436144,982.143760335277,448.160132639226,540.378189759021
"48","LOC101850568",2548.11534188588,1.59258512715096,0.303084886578161,5.25458443385714,1.48359072954117e-07,3.13343761685702e-05,2334.41372399431,5805.72739235,3342.35085299872,1078.57623200107,1083.97352278749,1643.65032718369
"49","LOC101845512",15324.2290163864,0.97186225095824,0.185974451060796,5.22578367842868,1.73419014943973e-07,3.57278562420288e-05,18444.2772892514,21859.6709158388,20593.2639540652,9683.07797009316,10773.5046664011,10591.5793026687
"50","LOC101851712",666.330662824314,1.08749434230156,0.209846687009542,5.1823279070978,2.191335237899e-07,4.42430584531809e-05,976.68716782501,840.20014974588,902.575757771807,415.078899778836,373.098829635612,490.343172188742
"51","LOC101852748",208.49779656946,-1.19687954406276,0.231157907823973,-5.17775729729388,2.24569111467432e-07,4.44514741228181e-05,118.253603279261,133.541745654974,128.009542568598,301.875563475517,302.452897396916,266.853427041492
"52","LOC101857494",138.792015538623,-1.65470052732518,0.321827272925636,-5.14157955689334,2.7243824488451e-07,5.28896938867141e-05,106.209254797114,45.6267630987829,48.8171984371771,231.647567805866,205.314740568709,195.136568524091
"53","LOC101846320",56.9319314140276,-1.73225986084073,0.337565537637438,-5.13162532219525,2.87250868343935e-07,5.37563011958016e-05,28.468460048711,22.2569576091624,28.205492430369,84.9025022274893,96.034314136977,81.7238620314569
"54","LOC101855571",219.043216304771,-1.27839732040884,0.249130910604014,-5.13142796014106,2.87552279799236e-07,5.37563011958016e-05,148.911944870181,113.510483806728,121.500582776974,317.5982490732,254.987661674042,357.7503756275
"55","LOC101858513",2133.4295386916,0.978367229720202,0.191275225202747,5.11497099890045,3.13789163629958e-07,5.75945746698986e-05,3179.7079992868,2625.2081500007,2686.03074067668,1393.02994395473,1471.42230740908,1445.17809082158
"56","LOC101855552",88.6036648573286,1.79941754125171,0.35688184175261,5.04205406589183,4.60561110114319e-07,8.15677966070887e-05,76.645853977299,155.798703264137,180.081220901587,37.7344454344397,49.6729211053329,31.6888444611772
"57","LOC101860615",85.1240600470263,1.99243287416095,0.395002269409654,5.04410487853326,4.55649340286974e-07,8.15677966070887e-05,60.2217424107349,173.604269351466,174.6570877419,38.7826244742852,24.2845392070517,39.1940970967191
