gene,Fish_kME
LOC106014199,0
LOC118477191,0.468105481594847
LOC101855535,0
LOC101855987,0
LOC101856227,0
LOC101848622,0.159331453801417
LOC101849014,0
LOC101856701,0.434638847430528
LOC101856938,0
LOC101857155,0
LOC101849658,0
LOC101857374,0
LOC101850126,0
LOC101857611,0
LOC101850376,0
LOC101858075,0
LOC101858315,0
LOC101858532,0.540959437940322
LOC101858752,0
LOC100533454,0
LOC101859209,0.350201800333526
LOC101860135,0.493713382097588
LOC101851086,0
LOC101851541,0
LOC101860536,0
LOC101851777,0
LOC101861475,0
LOC101861855,0
LOC101862078,0.822738295660881
LOC101851992,0
LOC101852216,0
LOC101852658,0
LOC101852888,0
LOC101863308,0.813706172529488
LOC101863703,0.392751687628153
LOC101863939,0
LOC101864426,0.440277930419579
LOC101854539,0
LOC101854989,0
LOC101845138,0.459614409601933
LOC101845368,0
LOC101845587,0.0772240377013479
LOC101846543,0.930355406747996
LOC101846778,0
LOC101847158,0
LOC101847778,0.590751251590945
LOC101848250,0.436174626742624
LOC101856140,0
LOC101848478,0
TRNAA-AGC,0
LOC101856852,0.381167673377555
LOC101848704,0
LOC101848929,0.408884746235808
LOC101849171,0
LOC101857527,0.52694335619654
LOC101860059,0.0902264026312027
LOC101858980,0
LOC101859369,0
LOC101859606,0
LOC101860291,0.566524443760377
LOC101860537,0.173643715890973
LOC101860776,0
LOC101861403,0
LOC101861778,0
LOC101861010,0
LOC106011226,0
LOC101861248,0
LOC101863309,0
LOC101863784,0.756467387872807
LOC101864033,0.51021500415185
LOC101864427,0.682674208775566
LOC101846779,0.887171045481742
LOC101847003,0
LOC101847387,0
LOC101847622,0
LOC101862384,0
LOC101847848,0
LOC101848252,0.361396786327598
LOC101862620,0
LOC101848479,0
LOC101849172,0.947358812926898
LOC101863067,0
LOC101863310,0
LOC106011157,0
LOC101849806,0.56309391800718
LOC101850047,0
LOC106011166,0
LOC101850449,0.251160313430581
LOC101850685,0
LOC101851456,0
LOC101852367,0.171584926425044
LOC101853043,0.601124001243781
LOC101853591,0
LOC101854540,0
LOC101853827,0.142829859862019
LOC101855066,0.403230728821706
LOC118477356,0
LOC101856228,0
LOC118477376,0
LOC101864493,0
LOC101857074,0
LOC101845435,0.955940052788443
LOC101857450,0
LOC101858533,0.121101804420504
LOC101858753,0
LOC101845890,0.692728357614857
LOC101859210,0.206887208235036
LOC101859607,0.770452506496317
LOC101857451,0
LOC101857914,0.624146998175008
LOC101847004,0
LOC100533392,0.425439606957906
LOC101858586,0.284573580019309
LOC101847229,0
LOC101858816,0
LOC101859287,0
LOC101859986,0.405714505021337
LOC101848084,0
LOC101860705,0
LOC101848327,0
LOC101860936,0
LOC101848706,0
LOC101848931,0
LOC101850522,0
LOC118477399,0
LOC101850764,0
LOC101851543,0
LOC101852061,0
LOC101852288,0
LOC101852520,0
LOC101853360,0
LOC106011319,0
LOC101853593,0
LOC101854058,0
LOC101861626,0
LOC101854298,0
LOC101854837,0.226037988248722
LOC101855224,0.393134716903291
LOC101855913,0.772674239822223
LOC101856141,0
LOC101863472,0
LOC101856767,0.734434591914647
LOC101863705,0
LOC101863941,0.611702333747987
LOC101857156,0
LOC118477147,0
LOC101857295,0
LOC101864659,0
LOC101845968,0.312497662421734
LOC101846781,0.152019103858944
LOC101847230,0.508385677393677
LOC101847005,0.553467120512462
LOC101847851,0
LOC101848085,0
LOC101848480,0
LOC101849094,0
LOC101849332,0
LOC101854990,0
LOC101849808,0
LOC101850378,0
LOC101850613,0
LOC101855225,0
LOC101850858,0
LOC118477454,0
LOC101851457,0.42495296979927
LOC101852808,0
LOC101853204,0
LOC106011377,0
LOC101853657,0
LOC101854059,0.552977716709514
LOC101854456,0.75795485762712
LOC106011389,0.889950975771599
LOC101855915,0.831800340129822
LOC101856142,0.889220883189041
LOC101856769,0.266387812989826
LOC101857157,0
LOC101857375,0.623678876098787
LOC101858144,0.266728987183247
LOC101858677,0
LOC101859211,0.694363322306261
LOC101859451,0
LOC101860137,-0.0344339410187281
LOC101845285,0.262873270182771
LOC101848790,0
LOC101849015,0
LOC101849737,0
LOC101849974,0
LOC101850379,0
LOC101850615,0
LOC101850859,0
ApCREB2,0
LOC101851089,0.650163443850999
LOC101851312,0.571184105571251
LOC101851905,0.676583139327181
LOC101858227,0
LOC101852134,0
LOC101852369,0.700837344002555
LOC101853508,0
LOC101853745,0
LOC101853984,0
LOC101854374,0
LOC101851002,0
LOC101858904,0
LOC101859140,0
LOC101859370,0
LOC101859609,0
LOC101851458,0.390031327557758
LOC106011492,0
LOC101860138,0
LOC101860460,0
LOC101861087,0
LOC101860860,0
LOC101861330,0
LOC101861697,0
LOC101861920,0.8645481654875
LOC101853046,0
LOC100533336,0
LOC101862385,0.328630441008966
LOC101853273,0.691164387636038
LOC101853746,0.435710682460452
LOC101853985,0
LOC101863396,0
LOC101863632,0
LOC101863942,0
LOC101864187,0
LOC101864428,0
LOC101864660,0
LOC101845139,0
LOC101845370,0.0759382159722495
LOC101854913,0
LOC101845893,0.115319572597926
LOC101855385,0.356300180367732
LOC101846107,0.856572379541291
LOC101846322,0
LOC101846849,0
LOC101847300,0
LOC101848086,0
