"","cluster","cluster_col"
"LOC101850152","C1","#8DD3C7"
"LOC106012150","C1","#8DD3C7"
"LOC118478283","C1","#8DD3C7"
"LOC118478879","C1","#8DD3C7"
"LOC101864121","C1","#8DD3C7"
"LOC101845051","C1","#8DD3C7"
"LOC101854870","C1","#8DD3C7"
"LOC101847302","C1","#8DD3C7"
"LOC101856519","C1","#8DD3C7"
"LOC101856310","C1","#8DD3C7"
"LOC101862351","C1","#8DD3C7"
"LOC101864556","C1","#8DD3C7"
"LOC106012362","C1","#8DD3C7"
"LOC101845273","C1","#8DD3C7"
"LOC101845889","C1","#8DD3C7"
"LOC101847223","C1","#8DD3C7"
"LOC101858164","C1","#8DD3C7"
"LOC100533382","C1","#8DD3C7"
"LOC101860332","C1","#8DD3C7"
"LOC101860976","C1","#8DD3C7"
"LOC118478718","C1","#8DD3C7"
"LOC101864378","C1","#8DD3C7"
"LOC101847363","C1","#8DD3C7"
"LOC101855989","C1","#8DD3C7"
"LOC106012224","C1","#8DD3C7"
"LOC101862595","C1","#8DD3C7"
"LOC101859671","C2","#FFFFB3"
"LOC101858299","C2","#FFFFB3"
"LOC118477412","C2","#FFFFB3"
"LOC106011124","C2","#FFFFB3"
"LOC118478954","C2","#FFFFB3"
"LOC106012612","C2","#FFFFB3"
"LOC101854208","C2","#FFFFB3"
"LOC101850093","C2","#FFFFB3"
"LOC101851438","C2","#FFFFB3"
"LOC118477155","C2","#FFFFB3"
"LOC101847401","C2","#FFFFB3"
"LOC101854957","C2","#FFFFB3"
"LOC101856036","C2","#FFFFB3"
"LOC101855065","C2","#FFFFB3"
"LOC101848589","C2","#FFFFB3"
"LOC101847736","C2","#FFFFB3"
"LOC106011306","C2","#FFFFB3"
"LOC101862273","C2","#FFFFB3"
"LOC101854398","C2","#FFFFB3"
"LOC101862784","C2","#FFFFB3"
"LOC101863413","C2","#FFFFB3"
"LOC101861170","C2","#FFFFB3"
"LOC101858850","C2","#FFFFB3"
"LOC101862532","C2","#FFFFB3"
"LOC101861781","C2","#FFFFB3"
"LOC106011542","C2","#FFFFB3"
"LOC101863161","C2","#FFFFB3"
"LOC101859824","C2","#FFFFB3"
"LOC101863537","C2","#FFFFB3"
"LOC101851258","C2","#FFFFB3"
"LOC106012120","C2","#FFFFB3"
"LOC101863417","C2","#FFFFB3"
"TRNAV-UAC","C2","#FFFFB3"
"LOC101848013","C2","#FFFFB3"
"LOC101845609","C2","#FFFFB3"
"LOC101861337","C2","#FFFFB3"
"LOC101847946","C2","#FFFFB3"
"LOC118478651","C2","#FFFFB3"
"LOC101845173","C2","#FFFFB3"
"LOC101855720","C2","#FFFFB3"
"LOC101850158","C2","#FFFFB3"
"LOC101863156","C2","#FFFFB3"
"LOC118478066","C2","#FFFFB3"
"LOC101847506","C2","#FFFFB3"
"TRNAS-CGA","C2","#FFFFB3"
"LOC106013283","C2","#FFFFB3"
"LOC101862804","C2","#FFFFB3"
"LOC101860942","C2","#FFFFB3"
"LOC106012172","C2","#FFFFB3"
"LOC101849726","C2","#FFFFB3"
"LOC106013517","C2","#FFFFB3"
"LOC101849246","C2","#FFFFB3"
"LOC101856801","C2","#FFFFB3"
"LOC101847040","C2","#FFFFB3"
"LOC101853642","C2","#FFFFB3"
"LOC101859844","C2","#FFFFB3"
"LOC101863042","C2","#FFFFB3"
"LOC101859591","C2","#FFFFB3"
"LOC106014034","C2","#FFFFB3"
"LOC106011885","C2","#FFFFB3"
"LOC106012706","C2","#FFFFB3"
"LOC101861046","C2","#FFFFB3"
"LOC106012726","C2","#FFFFB3"
"LOC101849710","C2","#FFFFB3"
"LOC101853248","C2","#FFFFB3"
"LOC106012849","C2","#FFFFB3"
"LOC101856393","C2","#FFFFB3"
"LOC101859240","C2","#FFFFB3"
"LOC101853217","C2","#FFFFB3"
"LOC106012953","C2","#FFFFB3"
"LOC106013483","C2","#FFFFB3"
"LOC101846743","C2","#FFFFB3"
"LOC106012811","C2","#FFFFB3"
"LOC101855215","C2","#FFFFB3"
"LOC106013000","C2","#FFFFB3"
"LOC101846764","C2","#FFFFB3"
"LOC118479039","C2","#FFFFB3"
"LOC101848374","C2","#FFFFB3"
"LOC106012485","C2","#FFFFB3"
"LOC101855351","C2","#FFFFB3"
"LOC101854334","C2","#FFFFB3"
"LOC101863993","C2","#FFFFB3"
"LOC101861686","C2","#FFFFB3"
"LOC106012850","C2","#FFFFB3"
"LOC101848076","C2","#FFFFB3"
"LOC101851911","C2","#FFFFB3"
"LOC106013557","C2","#FFFFB3"
"LOC101864203","C2","#FFFFB3"
"LOC106012232","C2","#FFFFB3"
"LOC101857200","C2","#FFFFB3"
"LOC101845926","C2","#FFFFB3"
"LOC101853840","C2","#FFFFB3"
"LOC101860256","C2","#FFFFB3"
"LOC101846736","C2","#FFFFB3"
"LOC101852149","C2","#FFFFB3"
"LOC101862264","C2","#FFFFB3"
"LOC101848493","C2","#FFFFB3"
"LOC101856916","C2","#FFFFB3"
"LOC101861760","C2","#FFFFB3"
"LOC101864652","C2","#FFFFB3"
"LOC101859091","C2","#FFFFB3"
"LOC101853326","C2","#FFFFB3"
"LOC101858416","C2","#FFFFB3"
"LOC101863138","C2","#FFFFB3"
"LOC106013510","C2","#FFFFB3"
"LOC106012273","C2","#FFFFB3"
"LOC101844975","C2","#FFFFB3"
"LOC106012903","C2","#FFFFB3"
"LOC118477160","C2","#FFFFB3"
"LOC101851474","C2","#FFFFB3"
"LOC101856686","C2","#FFFFB3"
"LOC101858795","C2","#FFFFB3"
"LOC106012714","C2","#FFFFB3"
"LOC118478197","C2","#FFFFB3"
"LOC101846413","C2","#FFFFB3"
"LOC101849365","C2","#FFFFB3"
"LOC101850981","C2","#FFFFB3"
"LOC101861513","C2","#FFFFB3"
"LOC101854547","C2","#FFFFB3"
"LOC106011154","C2","#FFFFB3"
"LOC106012567","C2","#FFFFB3"
"LOC118479095","C2","#FFFFB3"
"LOC106013694","C2","#FFFFB3"
"LOC118478703","C2","#FFFFB3"
"LOC101856572","C2","#FFFFB3"
"LOC106013586","C2","#FFFFB3"
"TRNAR-CCG","C2","#FFFFB3"
"LOC106012217","C2","#FFFFB3"
"LOC118477656","C2","#FFFFB3"
"LOC101850309","C2","#FFFFB3"
"LOC101857871","C2","#FFFFB3"
"LOC101851208","C2","#FFFFB3"
"LOC118478791","C2","#FFFFB3"
"LOC101863407","C2","#FFFFB3"
"LOC106011443","C2","#FFFFB3"
"LOC101864179","C2","#FFFFB3"
"LOC101857464","C2","#FFFFB3"
"LOC118478310","C2","#FFFFB3"
"LOC101861815","C2","#FFFFB3"
"LOC101848228","C2","#FFFFB3"
"LOC106014188","C2","#FFFFB3"
"LOC106013932","C2","#FFFFB3"
"LOC101856459","C2","#FFFFB3"
"LOC106013342","C2","#FFFFB3"
"LOC106011564","C2","#FFFFB3"
"LOC106012551","C2","#FFFFB3"
"LOC106011442","C2","#FFFFB3"
"LOC101856301","C2","#FFFFB3"
"LOC101864281","C2","#FFFFB3"
"LOC101848206","C2","#FFFFB3"
"LOC106012582","C2","#FFFFB3"
"LOC106014204","C2","#FFFFB3"
"LOC106011363","C2","#FFFFB3"
"LOC101863220","C2","#FFFFB3"
"LOC101846776","C2","#FFFFB3"
"LOC101860556","C2","#FFFFB3"
"LOC101856710","C2","#FFFFB3"
"LOC101856591","C2","#FFFFB3"
"LOC101854230","C2","#FFFFB3"
"LOC101852820","C2","#FFFFB3"
"LOC106011639","C2","#FFFFB3"
"LOC118478280","C2","#FFFFB3"
"LOC101852976","C2","#FFFFB3"
"LOC101850871","C2","#FFFFB3"
"LOC101849559","C2","#FFFFB3"
"LOC101853372","C2","#FFFFB3"
"LOC118479146","C2","#FFFFB3"
"LOC101846765","C2","#FFFFB3"
"LOC106013415","C2","#FFFFB3"
"LOC101855618","C2","#FFFFB3"
"LOC106013109","C2","#FFFFB3"
"LOC101853334","C2","#FFFFB3"
"LOC106012259","C2","#FFFFB3"
"LOC106013261","C2","#FFFFB3"
"LOC106011160","C2","#FFFFB3"
"LOC101846223","C2","#FFFFB3"
"LOC101856662","C2","#FFFFB3"
"LOC101854169","C2","#FFFFB3"
"LOC101862871","C2","#FFFFB3"
"LOC101851710","C2","#FFFFB3"
"LOC101852136","C2","#FFFFB3"
"LOC101854229","C2","#FFFFB3"
"LOC101846382","C2","#FFFFB3"
"LOC101846303","C2","#FFFFB3"
"LOC101849337","C2","#FFFFB3"
"LOC106013026","C2","#FFFFB3"
"LOC101850816","C2","#FFFFB3"
"LOC101848961","C2","#FFFFB3"
"LOC101858965","C2","#FFFFB3"
"LOC101847632","C2","#FFFFB3"
"LOC101862148","C2","#FFFFB3"
"LOC101848539","C2","#FFFFB3"
"LOC101850161","C2","#FFFFB3"
"LOC101860726","C2","#FFFFB3"
