"","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC205A","AC206A","AC207A","AC267A","AC271A","AC275A","AC279A","AC283A","AC290A","AC293A","AC299A","AC301A","AC305A","AC309A","AC313A","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC193A","AC194A","AC195A","AC270A","AC274A","AC278A","AC282A","AC286A","AC292A","AC296A","AC300A","AC304A","AC308A","AC312A"
"LOC101853168",1.20378218687698,1.03574342800066,0.0475716840595675,-0.752906752767696,-0.893194730296693,-1.13451361032951,-1.1875713051131,-0.761946639616922,-1.26718084750947,-0.952697453165825,-0.834640610162952,-0.987720996844342,-0.954436837482168,-0.710707872505744,-0.31658331753105,1.46816889312318,0.733431227455591,-0.762348630236968,0.886222722391651,0.397066516748568,1.4972446525228,1.19281592500258,1.04476729399508,0.623802369533944,1.11014956084051,0.299706745525279,-0.267947015388386,-1.20702559259007,-0.739573870649471,-0.596842810589524,-0.435140017172995,-0.94884246477511,-1.06877794496064,-0.291968089057194,-0.847322736277624,-0.87233197903263,-0.176071911576444,-0.341249221936848,0.0276220754003624,2.15370370917365,-0.851595784703655,0.636152021726167,0.347303209566217,0.570983926692507,1.72615507806905,0.608153079386531,2.55059273618215
"LOC101861913",0.899642188526655,1.31351553235338,-0.105007561006645,-0.855660058931398,-0.796330486756036,-0.889816565161218,-0.623242298621448,-0.598587328919144,-0.877437140940926,-0.751411083810837,-0.82215985250509,-0.858121327589794,-0.557544543156344,-0.639391670555815,-0.172462009738016,0.84520722328025,0.798225930056516,-0.60361638862311,-0.269616483493668,0.144320048331979,0.120781984788327,3.90135422069525,1.47259150430512,0.248486481686128,0.629354099255538,0.378506302870779,0.184560150941689,-0.873421120692479,-0.838308795243105,-0.730549206475553,-0.759630602111942,-0.173989143868602,-0.759790585723244,-0.712098453478363,-0.87369769876555,-0.937100447681304,0.240662222370963,-0.633852539803755,0.604482529173994,1.90837762328214,-0.895448344047336,0.244202026524574,-0.143135452458427,-0.135483873405227,1.2255877599378,0.562060671316801,2.16499256386649
"LOC118479156",0.793961040229256,0.876290344407276,1.00132906119686,-0.813245701424388,-0.426713610698396,-0.907149745411899,-0.881150254694567,-0.895707442485533,-1.03705711200487,-1.03705711200487,-0.553008972368609,-0.352941462201902,-0.832898438399252,-0.764608765677913,-0.687998752436677,2.09868499447279,1.80010578902869,-0.048396681423894,-0.0447717416598066,1.23454290750829,-0.159137994070787,0.167353672968246,1.13624156444815,0.444259030363582,-0.0785203841718924,0.0787913975860272,-0.198388412994904,-0.91924941630819,-0.52042591942949,-0.380664087212693,-0.592657881688256,-0.933151777461244,-0.648506040280065,-0.782410325028504,-0.567201315698559,-0.882403173937363,-0.102197797053993,-0.885945526758285,-0.403123514126674,2.44149832310479,-0.765764001753659,0.628410817302807,0.24475209147157,0.312887024108232,0.326229256610692,1.19276177856698,3.3243542674929
"LOC101847773",0.296293464924995,0.0345299525381956,-0.122718380051638,-0.896999707244531,-0.891744399243669,-0.786927911243466,-0.18897836698443,-0.735589689454391,-0.760407738754294,-0.755820021611953,-0.798427402265039,-0.742611741406709,-0.585368190292628,-0.813982739478343,-0.35320347722151,1.27469531603633,0.0581335909973444,-0.358421399370463,0.392055326186298,0.704964521876331,-0.00908726080765974,3.15563721300187,1.57372348499136,0.0345398951124146,0.779948984784017,0.776157064030993,0.165467156052116,-0.833029144923712,-0.854684713700835,-0.853039702601339,-0.763366519941215,-0.498164066880036,-0.820919303993878,-0.724429138590766,-0.742273333177877,-0.794922592104458,0.115558935284409,-0.525095594456595,0.19246340520308,1.61004493498909,-0.721055921820795,-0.0321335989158438,0.216127040445823,-0.0473894337727871,1.23050496737474,0.876439504241345,3.52350673224011
"LOC101848780",0.235284737513577,1.59950463674868,-0.126740218399095,-0.709916768619009,-0.774736720128962,-0.600875753315023,-0.69391593704125,-0.559881681969931,-0.647137497276699,-0.698540580515605,-0.777260513641273,-0.84842827106225,-0.578668833815638,-0.361334828088062,-0.695754587262858,0.702078063670465,1.56898447993168,-0.279169479300075,0.31622278641113,1.09608718030807,0.0403878988220124,2.86516570433724,0.663980690574318,0.457035740254319,-0.248642521606786,0.210759004414731,-0.120374455289404,-0.92560288072514,-0.912048298444302,-0.700480558698126,-0.830419434535468,-0.652670491076409,-0.911619301860003,-0.91423899134397,-0.738975460247152,-0.943164051340415,-0.00302243565658427,-0.705369209828742,0.11135657633476,1.34415814406327,-0.490318218197931,0.480664872894838,-0.249881549862837,0.54584593135302,1.15873908197327,0.656765423113128,3.64616857643048
"LOC101850748",1.09529143328495,0.861192516484329,0.731996442274639,-0.527120019378822,-0.781148655107834,-0.694598323270335,-0.648228109353232,-0.422093122143437,-0.65801070572006,-0.560145658043497,-0.782405033523201,-0.519580896469608,-0.683543419533275,-0.764317753464199,-0.303741497077495,1.48164092252077,0.76040906818816,-0.43648857627884,0.843456900431846,0.65904535692354,-0.404364430977773,0.792169115236577,-0.172604865545463,0.468065493473925,0.294821820677606,0.0687718089319426,-0.0122073200781456,-0.926288722279116,-0.695935182123052,-0.770198049559297,-0.662092683487218,-0.864516838074421,-0.387302206622666,-0.774900808392972,-0.926288722279116,-0.834346713756974,-0.449909870005558,-0.477108351182736,-0.29816452676993,3.74587446582686,-0.765004543121472,1.19540405002775,0.24216890046048,0.0367639628409748,0.775710630753712,-0.146505884310613,3.2963785995923
"LOC101853896",0.655399931253152,1.17427241078986,-0.0962784410630664,-0.917161229122038,-0.450155067549411,-0.917161229122038,-0.661534229714032,-0.685402392404382,-0.670527577349133,-0.833010464402304,-0.65261059583811,-0.917161229122038,-0.694000340895674,-0.768257893573392,-0.535614012986855,0.725232136981979,1.37184472108951,-0.286764149723246,0.438642572336774,1.67382744912368,0.842164228849027,3.82228262081004,1.95333127782875,1.37669226565637,0.504789568914815,-0.536002820369777,-0.306008970298582,-0.788388497857345,-0.917161229122038,-0.917161229122038,-0.674280225799732,-0.633220234371483,-0.492445488389353,-0.777987119685446,-0.852962734031051,-0.832636997118259,0.0317199272726399,-0.421632016632179,0.584203183214153,-0.353853900066013,-0.620617318524811,1.20673507742064,-0.263307790085787,-0.376111139885718,1.24359284394034,0.731641718599376,0.513044630144232
"TRNAK-CUU",0.0206310859610933,0.474609491721235,-0.270978109413271,-0.980054585973321,-0.942159783843903,-0.827943895736769,-0.766751580793326,-0.523779902591348,-0.838666536172922,-0.892103638892241,-0.920083299619659,-1.02635128735642,-0.773313060244841,-0.732922490481521,-0.334971474653535,1.07013784000502,0.986159629299546,-0.551966466100271,0.131336314136854,1.38455269320956,0.444705356635432,2.12620836176979,1.70801130353844,1.28743207851519,0.961171925160054,0.808642718417125,0.319307345807371,-0.87952762436688,-0.779043850137861,-0.798968479649776,-0.755994131733996,-0.848383650275084,-1.03208316299743,-0.709163894683145,-0.949384935233594,-0.83036594646677,0.542711721179107,-0.689123785980596,0.607001235276527,1.87330305437548,-0.796699645051317,0.312914097056647,-0.0275107522203991,-0.00401378609777417,0.764743765564252,0.56421942949284,3.0945103096464
"LOC101862750",1.09645705163246,0.196743416049903,-0.192467062253601,-0.729277524994549,-0.537880637234878,-0.703221276212497,-0.778421265221829,-0.686659277479427,-0.564664967522751,-0.556960001528096,-0.453360972775828,-0.792232500172614,-0.447993992136347,-0.792665975923903,-0.133394505812065,-0.513021735732262,0.96649879949706,-0.772001973545367,0.904082846528029,0.466831110017871,0.379477701236034,2.2466992412709,3.30302652390807,0.984842398329595,0.000659242547830167,0.622920275774742,0.120345392295602,-0.720734772869991,-0.797780037965247,-0.891253847520463,-0.676840731068723,-0.7408575479167,-0.328851121508827,-0.706961411355152,-0.891253847520463,-0.891253847520463,-0.0213724583513525,-0.563167373209518,0.790972807917904,0.880315167393307,-0.825807288129029,-0.776460615054734,0.283792610265665,-0.630726187242074,0.884688681672288,0.912360079643302,3.07683140979818
"LOC101853009",0.433397396442903,0.357362522679431,0.19009861878893,-0.80835214618541,-0.757409762188835,-0.746939746212052,-0.764273273726094,-0.495657495656803,-0.76976800308075,-0.766212945896099,-0.718412543954796,-0.554949368518651,-0.715936228926865,-0.556549407854385,-0.259958459657368,0.562927111722517,1.01944120323395,-0.59031993739875,-0.589109489867278,0.332780305757399,0.545327503919388,2.29697960297614,2.10334647723992,0.398595714519369,0.222675221524962,0.0110607058784115,0.199744569733678,-0.605746759841211,-0.79106958048796,-0.438250398429306,-0.574201147598162,-0.712277782825644,-0.704212524631332,-0.495294552641713,-0.606665036612326,-0.662243667666681,0.0160550689625992,-0.264482023223547,0.137966706655131,1.48871958957934,-0.799667823498121,0.483127242250339,-0.406826194322338,0.101303857510548,0.809424032698278,-0.044472187815549,4.4889250366448
"LOC101852560",0.245606724741023,0.876442574177383,0.0828813559271072,-0.763972950510274,-0.948301941416797,-0.849583294028186,-0.749967955314092,-0.928148202454095,-1.02348592348845,-0.914955969238201,-0.865079938270568,-0.742190910453321,-0.64909600255308,-0.743651738337403,-0.224559016318264,0.107711988601469,0.665799249804572,-0.386954188181354,0.479906848636184,0.507054449185839,0.402554237653722,2.36517771996507,1.51128913393085,0.429462753179039,1.64361648086166,0.673641345624721,-0.199264425606888,-0.911709036475172,-0.940891949403747,-0.892934794356381,-0.714606474064107,-0.388041092151381,-0.85026331383323,-0.94280938996845,-0.953115130635811,-0.752587222740196,0.180473635314046,-0.338787873034934,0.764740338307437,1.66233751812766,-0.760814601248128,0.60969529068268,-0.182675251540019,0.115657587323465,1.06159886634367,0.70644477556932,3.52635571166561
"LOC101858903",-0.0233755417897,0.657391780212807,-0.0553360192680235,-0.766760614454872,-0.651122156415894,-0.766760614454872,-0.766760614454872,-0.498953096351587,-0.624262604244115,-0.620900755785014,-0.766760614454872,-0.766760614454872,-0.379952298146081,-0.637712354757342,-0.65653697159453,1.33738595793336,0.513100809319609,-0.454567105193795,1.58327567485842,1.38517778560611,-0.212312106559861,2.65613663246456,1.12048674428481,1.92286800363511,-0.377599046502682,-0.238226269540996,-0.104685658907487,-0.65515870302034,-0.766760614454872,-0.766760614454872,-0.626430779322361,-0.766760614454872,-0.766760614454872,-0.766760614454872,-0.766760614454872,-0.766760614454872,-0.38721196884013,-0.766760614454872,0.234138928190901,2.89470020281114,-0.766760614454872,0.285063169180931,-0.442950739146078,0.0857945887748249,1.17044769358978,0.35154666031537,2.18442814657649
"LOC101845134",0.926835209140709,0.643635755436497,0.0342091772761184,-0.863032186064964,-0.863032186064964,-0.863032186064964,-0.625960902741897,-0.809298264208747,-0.805849497546278,-0.804500429352277,-0.817029593702512,-0.759005860450957,-0.242146619025568,-0.811246716027536,-0.553412496679195,0.2793480317679,0.985901011839518,-0.737752793242369,0.457224497638343,0.300877985416738,-0.418045532851793,0.190035323834337,0.513929661433004,1.06096356295884,0.906846002608633,0.621627869212736,0.199697767934939,-0.773463253415137,-0.863032186064964,-0.763221350649256,-0.694094306011917,-0.507536695257132,-0.813796431461488,-0.814630337660031,-0.863032186064964,-0.745449136155693,0.203125044021535,-0.173693345091027,-0.1400646999806,2.46737871409784,-0.759900407717409,0.855452146910419,0.436376781938961,-0.178792475501083,1.72822690381963,1.33091964100393,3.92144098676409
"LOC101854983",0.82888929160697,0.711982854069321,-0.200381329660388,-0.809422380795555,-0.857902708593227,-0.792266823643182,-0.84177885126076,-0.781362325524541,-0.916068355880758,-0.842701473991514,-0.858406208868459,-0.916068355880758,-0.235098134853512,-0.656425476377605,-0.0289960594030025,1.3251999089523,0.17833179442265,-0.209424386920452,0.14778398019863,-0.0689603662816784,-0.0096914038467046,2.29777649906804,1.06878419837214,0.142700747999624,1.36764192791569,1.1442730457068,-0.116818300243461,-0.859933074182976,-0.731437563994189,-0.853514195673708,-0.77489774823596,-0.718025089181903,-0.916068355880758,-0.85539885107541,-0.692182409151951,-0.76868337686473,-0.0887858949310868,-0.844063794926982,0.69496577944226,2.21482003118265,-0.786797385282796,0.0286867183934084,0.34621270260055,-0.144171471805333,2.98156144925618,0.583941649013184,2.11217957501295
"LOC101863629",0.227171277267982,-0.204045693426195,-0.0468039342517171,-0.798523341865926,-0.834322381090723,-0.694437239289566,-0.822416137314712,-0.82753820783059,-0.506782911884148,-0.660569817440795,-0.706956832167357,-0.780988525654398,-0.6617683882826,-0.733478386131551,-0.426936384234028,1.32940184502702,0.834063733994138,-0.239514204979427,0.606588959444612,0.165268205266082,0.358339984468711,2.64011891160336,0.970736362365807,0.729802287798501,0.0381719826305205,0.595054715992147,-0.336269963558533,-0.835821651840117,-0.74093747884821,-0.553932825714083,-0.720907638623186,-0.731033385090624,-0.421556612701158,-0.518874729143171,-0.753281220040123,-0.71402437685757,-0.0784233479248272,-0.451914106044026,-0.133756839748178,1.20799079946917,-0.622721848749687,0.601701995656717,-0.00531001983553588,0.231035172859206,1.18536756584279,0.414977385759794,4.42805724511621
"LOC101846360",0.173654118926555,0.413927426809472,-0.557239417126855,-0.559527500737162,-0.812444777407717,-0.853076106807043,-0.806494830941078,-0.705953184844315,-0.850009345687974,-0.534106643843773,-0.706407259394915,-1.05517915729461,-0.902933434650692,-0.902774350977696,-0.382267622106033,1.13799690976182,0.911120978521095,-0.753701134598939,0.636423559133318,0.639441413642146,0.388772437553094,3.17593190509472,1.26664144597241,0.73877608491216,0.447514710963907,0.53851220942564,-0.115406243509162,-0.690070584352694,-0.738718033781472,-0.821219150234585,-0.820422512052359,-0.690232893763881,-0.76675834210063,-0.458503534175887,-0.717531713401463,-0.566293281426844,0.349820431720746,-0.544351213507879,0.19191991615358,2.60736921363292,-0.782036787402315,-0.126713575531411,0.19640167388192,-0.178849661825236,1.14295533445843,0.676676259436943,2.76536626348373
"LOC101855705",1.22208574207045,1.74730803594783,0.258123109005404,-0.952519706764837,0.0217889247856953,-0.844785451776655,-1.01424853765097,-0.776619431355192,-0.706292848978065,-0.909197088023105,-0.735424048563398,-0.926857263933568,-0.787420784632896,-0.880708393976228,-0.668332418665324,-0.0361257635977658,0.648319563032677,-0.784932204957583,0.379997103280206,1.61080917945594,1.19264978321262,3.52179023878409,1.48137996160807,0.0764337139282625,0.436528066432314,0.3208595962607,0.515760176937509,-1.06777133499272,-0.890411935299337,-0.84243172229971,-0.610084796631085,-0.746735183440214,-0.845455474659796,-0.674380442912111,-0.745168506619422,-0.749215312707609,0.445217578637841,-0.289622616006698,0.963435421049646,1.9840411229,-0.943591497443622,0.075738373269781,0.135018002134062,0.0753697872796515,0.00866541035316109,0.193046334547563,1.11396754097443
"LOC101861701",2.04930087252096,1.86569878167127,0.128339460803356,-0.858739617676502,-0.765146878592213,-0.858739617676502,-0.619665231098117,-0.858739617676502,-0.858739617676502,-0.858739617676502,-0.858739617676502,-0.753834335030857,-0.5456737878665,-0.754293568291432,-0.59110894820656,1.74585585351211,0.177124560476026,-0.353387918050212,-0.478336182704769,0.807220290093003,0.487499914095874,1.08050130669397,1.08529521516037,0.466310735691289,0.821102778870858,0.638464881399203,-0.00137213464898449,-0.497436682465126,-0.858739617676502,-0.858739617676502,-0.858739617676502,-0.460407168629732,-0.858739617676502,-0.858739617676502,-0.858739617676502,-0.740163064940815,0.370021054550456,-0.62701851078631,0.761429508287709,2.40103025494181,-0.858739617676502,0.600632546427193,-0.531142578522832,-0.0997164012796892,0.291047966151877,0.146937355178499,3.05850508438285
"LOC101854787",0.207242149790722,0.786042906747207,-0.0916571477801309,-0.911762009311041,-0.997676004772357,-0.997676004772357,-0.638590263881708,-0.78063765388495,-0.882191819115733,-0.52484113575024,-0.718960257680362,-0.577500045523472,-0.684196235138643,-0.370171108688601,-0.283050579925698,3.01469215234478,0.558174712644535,-0.491656122375744,0.145043223658134,0.670486657449627,1.13668827904045,2.51606640266238,1.2270157228519,0.708212734351417,1.10490337849266,-0.462253103746747,-0.139174899001674,-0.816785677382133,-0.799357921619334,-0.997676004772357,-0.883948965990288,-0.598816875238492,-0.798806340793062,-0.997676004772357,-0.907494747599999,-0.87894266853409,-0.279951213767775,-0.533621021503876,0.949097597507338,1.67293489114959,-0.789394621956734,0.28096304002338,-0.210403543164617,0.107817532735211,0.572289242959192,1.41914005695763,1.96805931707842
"LOC106011242",0.325365511977671,0.193293563145919,-0.421428464400851,-0.863322150042971,-0.771889978209073,-0.671224814570341,-0.61729243704125,-0.452015658131728,-0.836690020150753,-0.727772560692197,-0.773351249773144,-0.940699829103293,-0.799533440109413,-0.375543102341449,-0.297078769749483,1.04683728433687,0.0868931609545199,-0.371021922611087,0.260010114741184,0.151966299323782,0.779249481089023,2.39048014727872,1.31340518349611,0.510338555411449,0.479552294926812,0.698861408781225,0.509052827868472,-0.859241193506375,-0.85139311657249,-0.668380368653592,-0.633418078553514,-0.509625098384985,-0.582479426208572,-0.940699829103293,-0.372153175430701,-0.940699829103293,-0.478976631937266,-0.418266065999772,0.666532539447411,2.80081891448419,-0.815641973999007,0.265732955351356,-0.172562362071274,-0.00727517624395657,0.473275465870947,0.419727658352576,3.79828335585689
"LOC101854803",-0.283222841870717,-0.0189207922629516,-0.292157639619409,-0.658736677607007,0.531284011287419,-0.513890514904216,-0.854132309728746,-0.730728824829131,-0.460160896771928,-0.585288253455704,-0.64283635306534,-0.495777363952944,-0.854132309728746,-0.854132309728746,-0.650971745101865,0.856879400634933,1.03306620957724,-0.278707582615614,0.0121694873103463,1.30150982213749,-0.0876764773135249,1.87975500968711,-0.0635614529720797,0.1158004896966,0.939091943810588,0.485361042899764,0.244150839634002,-0.751281837942005,-0.628613248423395,-0.510299089607614,-0.854132309728746,-0.491279522709257,-0.627986013689188,-0.631816254528672,-0.341380468305539,-0.719113706743129,-0.504346568913775,-0.458354315520219,0.621727576167759,-0.404220096286197,-0.696233036019327,-0.0232665681997525,0.339538946135066,0.0887085833989959,1.05018669576035,1.66514500904427,4.80298231496355
"LOC101852227",-0.103511627048267,-0.435745023469888,-0.357583019984083,-0.785966964034232,-0.843334632627916,-0.77146585008768,-0.792385370635877,-0.800202998699871,-0.754940576767741,-0.876111832132421,-0.843618362453706,-0.839372856310204,-0.656833685940237,-0.473752211630711,-0.407475913760573,1.19378467543617,0.574971965994175,-0.389417698465665,0.0564382333514875,1.24547855453947,0.499002550931099,2.00216237943409,1.55539614071727,1.0795152606438,-0.0304317960468097,0.472184259479854,-0.125463189010662,-0.812845714990998,-0.668027487418592,-0.805611449705394,-0.677232537104888,-0.708711382748,-0.702225925147913,-0.841923672014229,-0.813030316801651,-0.710004616397499,0.0562598866961282,-0.632658044234268,1.16653149567737,1.75304371662693,-0.75470167020629,0.465494356933757,0.408842454730065,0.428813979550396,0.661348455385868,0.920103376485513,3.87521468326282
