"","RSB441-07","RSB441-08","RSB441-09","RSB441-13","RSB441-14","RSB441-15"
"bbe-miR-92b-3p_MIMAT0031722_Branchiostoma_belcheri_miR-92b-3p ",7.48014415931015,6.55005741574036,3.04268749906648,11.3020838108527,23.8546912427985,0
"bdo-let-7_MIMAT0045392_Bactrocera_dorsalis_let-7 ",179.523459823443,198.88356153248,219.073499932787,179.158958186851,247.682751627355,82.0328340355361
"bdo-miR-124_MIMAT0045395_Bactrocera_dorsalis_miR-124 ",228.484403411655,181.019768580461,206.294212436707,197.995764538272,132.977215013047,32.8131336142144
"bdo-miR-137_MIMAT0045408_Bactrocera_dorsalis_miR-137 ",12.9202490024448,13.1001148314807,12.1707499962659,15.069445081137,3.04527973312322,0
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",1209.06330138668,1103.38694466972,1078.32844966916,831.749649339422,659.303062221176,1558.62384667519
"bdo-miR-2a_MIMAT0045403_Bactrocera_dorsalis_miR-2a ",463.088924771837,411.462697661508,562.897187327299,251.994609412346,271.537442870153,65.6262672284289
"bdo-miR-2a-2_MIMAT0045417_Bactrocera_dorsalis_miR-2a-2 ",18.3603538455794,9.52735624107689,17.6475874945856,25.115741801895,48.2169291077842,32.8131336142144
"bdo-miR-92b_MIMAT0045385_Bactrocera_dorsalis_miR-92b ",31.2806028480242,34.5366663739037,45.0317749861839,100.46296720758,209.109208341127,65.6262672284289
"bfl-let-7a-5p_MIMAT0009462_Branchiostoma_floridae_let-7a-5p ",321.646198850336,340.602985618499,360.862737389285,312.690985433593,386.750526106648,49.2197004213217
"bfl-let-7b_MIMAT0010006_Branchiostoma_floridae_let-7b ",359.726932752279,369.780514106797,387.029849881256,315.202559613782,475.571184989409,131.252534456858
"bfl-miR-100-5p_MIMAT0009481_Branchiostoma_floridae_miR-100-5p ",2417.44658966796,2603.35009287426,2245.50337431106,1840.5652783822,2013.94499683882,3691.47753159912
"bfl-miR-124-3p_MIMAT0009482_Branchiostoma_floridae_miR-124-3p ",233.92450825479,198.288101767413,221.50764993204,199.251551628367,121.303642702741,32.8131336142144
"bfl-miR-184-3p_MIMAT0009488_Branchiostoma_floridae_miR-184-3p ",472.609108247323,448.976662860748,461.271424858478,554.220702428483,499.425876232207,918.767741198004
"bfl-miR-22-3p_MIMAT0009470_Branchiostoma_floridae_miR-22-3p ",7.48014415931015,8.93189647600958,13.3878249958925,17.1624235646282,13.7037587990545,16.4065668071072
"bfl-miR-281_MIMAT0009500_Branchiostoma_floridae_miR-281 ",3.40006552695916,2.97729882533653,2.43414999925318,5.8603397537755,325.844931444184,0
"bfl-miR-33_MIMAT0009474_Branchiostoma_floridae_miR-33 ",13.6002621078366,16.6728734218846,22.515887493092,9.20910532736149,10.6584790659313,0
"bfl-miR-71-5p_MIMAT0009476_Branchiostoma_floridae_miR-71-5p ",382.847378335601,350.725801624643,345.649299893952,395.572933379846,332.443037532618,32.8131336142144
"bfl-miR-92a_MIMAT0009478_Branchiostoma_floridae_miR-92a ",388.287483178736,361.444077395854,312.788274904034,812.494247291303,1558.6756767369,82.0328340355361
"bfl-miR-92b-3p_MIMAT0009479_Branchiostoma_floridae_miR-92b-3p ",8.84017037009381,6.55005741574036,3.04268749906648,12.1392752042492,27.9150642202961,0
"bma-let-7_MIMAT0014094_Brugia_malayi_let-7 ",337.96651337974,348.343962564374,360.862737389285,307.667837073214,424.816522770689,82.0328340355361
