"","AC163A","AC164A","AC172A","AC187A","AC188A","AC189A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC178A","AC186A","AC193A","AC194A","AC195A","AC196A","AC197A","AC198A","AC164Pp","AC167Pp","AC172Pp","AC187Pp","AC188Pp","AC189Pp","AC190Pp","AC191Pp","AC192Pp","AC177Pp","AC181Pp","AC182Pp","AC178Pp","AC185Pp","AC186Pp","AC193Pp","AC194Pp","AC195Pp","AC196Pp","AC197Pp","AC198Pp"
"LOC106011442",5.20275519065646,1.33826098589967,0.706518453517961,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,1.0875886964344,-0.400285012296646,1.86738059947835,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,0.60546588490524,-0.400285012296646,-0.0317855168065595,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,-0.400285012296646,0.0907789537438059,0.863076219920962,0.188756101211022,-0.400285012296646,0.0897547999380858
"LOC118477561",0.0845995777544295,0.0982897342344158,-0.258341160427756,5.90956911955119,0.519578060136496,-0.314678177966044,-0.268652370734152,0.998040002587629,0.8587579887153,-0.314678177966044,-0.314678177966044,-0.314678177966044,-0.314678177966044,0.169426641080729,-0.215851951262212,0.597004004601043,-0.254360178472042,-0.314678177966044,-0.314678177966044,-0.258189796589649,-0.314678177966044,-0.314678177966044,-0.314678177966044,-0.267604483483606,-0.267221936233046,-0.212422133595069,-0.26348480201008,-0.314678177966044,-0.239650720313495,-0.314678177966044,-0.282306795588492,-0.314678177966044,-0.314678177966044,-0.314678177966044,-0.210587937757414,-0.244268972235336,-0.0647234197662181,-0.314678177966044,-0.314678177966044,-0.263391266803871,-0.314678177966044
"LOC101847693",2.45784637573873,5.39822561309768,1.06505580606183,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,0.322786749104746,-0.293837253474604,-0.293837253474604,0.611023315417097,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,-0.293837253474604,0.429366012191045,-0.293837253474604,-0.293837253474604
"LOC101848143",1.38480868866065,5.32548551944175,0.744765731615953,-0.48915023691138,-0.48915023691138,-0.48915023691138,-0.48915023691138,-0.48915023691138,-0.48915023691138,-0.48915023691138,-0.48915023691138,0.0634304759191299,1.42467019819264,-0.48915023691138,-0.48915023691138,0.0100504895589448,-0.48915023691138,-0.48915023691138,0.210664127257311,0.129465363117724,-0.48915023691138,-0.48915023691138,-0.48915023691138,0.0263632376879925,-0.48915023691138,-0.48915023691138,0.0714786962049054,0.0892444928946364,0.332490507671628,-0.48915023691138,-0.1346447324993,-0.48915023691138,-0.48915023691138,0.561337057497405,0.650762871498963,-0.48915023691138,-0.48915023691138,0.215076686205607,-0.48915023691138,0.634156274947183,-0.48915023691138
"LOC101855248",0.77935357350726,5.69840852961591,0.764826928068251,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,0.122030097721818,0.654882889556788,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,0.11618415244225,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,-0.399869687324181,0.0867248737071292,0.0906792140984441,-0.399869687324181,-0.399869687324181,-0.399869687324181,0.763453689663726,0.0195808508185197,-0.399869687324181,0.143854844318785,-0.399869687324181,-0.399869687324181,0.676097374510292,-0.399869687324181,-0.399869687324181,-0.399869687324181,0.219982176551611,0.660422363172097,-0.399869687324181
"LOC101861341",-0.514207519449606,-0.0786354421674682,0.537295842935675,0.79411915564129,1.33662768870389,0.77664454522996,0.241025971392612,0.862189178043774,1.36287390876876,0.887770790408807,1.00941680992555,1.70152150007236,-0.0496735153352932,-0.648767394950234,1.03781204180496,1.92441454483184,3.1177685799516,0.764346792087077,0.432469901729297,0.804713547940346,-0.60008470457846,-0.822083015441678,-0.781101903193538,-0.809309725378152,-0.810529102038505,-0.791853799450341,-0.825698430153589,-0.816805739779347,-0.807962308397671,-0.715465782640265,-0.784237959072652,-0.777094102614117,-0.648980699661,-0.758740436504064,-0.766303251146511,-0.803484664901627,-0.799308978817989,-0.792751163822109,-0.796174171302695,-0.815959531709573,-0.775797456961325
"LOC118477856",-0.4932308478494,-0.632055675857503,0.303506130399264,2.16812407476571,2.13070020184745,1.80510130001483,0.368133513049646,1.30353419604844,1.07847317956245,0.48410663538242,1.43635922749722,0.8296117037234,-0.0529545612041497,-0.605167212119768,1.02427526336519,1.77950784007276,1.22278070821213,0.91906303066195,0.69934555586391,0.659358142903328,-0.763938336531356,-0.817863292302523,-0.788653433278255,-0.779619141285194,-0.775663123731555,-0.829342794245761,-0.850612631764937,-0.846610648154817,-0.830035719460154,-0.75991745946115,-0.751218242759909,-0.828423348617923,-0.711724142050254,-0.658284569904297,-0.590452863176903,-0.787993551665882,-0.788432592607782,-0.821114309012895,-0.823824747527923,-0.832801845086854,-0.792045613712949
"LOC101847844",-0.460773156375746,0.632635845243643,1.02301818506113,0.473683637821493,0.663358362897372,0.201207895892824,-0.133646632461053,0.84710759302683,1.21208332713945,1.14255181337065,0.870780957789388,1.32668093059957,0.929439348345054,-0.498505244947024,0.937467555330822,2.9371178960281,1.88302921560079,1.18321695266005,0.935144544847562,1.03236976513961,-0.693238528965047,-0.857002315891272,-0.79241748439974,-0.858197343229965,-0.871832789534689,-0.876807735122197,-0.888111989333084,-0.87977306044613,-0.864957139768294,-0.729838440401666,-0.774850110993562,-0.778890944085164,-0.586804054001033,-0.76523115906253,-0.772537696594362,-0.863530201516547,-0.84236951636615,-0.833896864567538,-0.858630105936574,-0.889974437123216,-0.859076875671744
"LOC101851187",0.64721689771375,0.529481072618518,1.38619339860754,0.540533941608282,0.801506594932275,1.04488190434232,0.962387574473444,0.738514889087903,0.746274415862831,1.95242197227682,1.63889509076393,1.0145046390734,1.99607846326878,1.32674000697143,-0.0329856363286271,1.01604257575751,0.294401915545421,0.593523268333863,1.30059670180354,0.281423852020575,-0.901944402712841,-0.787482842367451,-0.84606922770475,-0.886644533277974,-0.908951696622639,-0.892730025482595,-0.904902291553573,-0.899085361309188,-0.90606016342385,-0.909969690535101,-0.906160780332987,-0.916785493191766,-0.871911083860509,-0.908734321915939,-0.909464639760881,-0.885645902388167,-0.905476291530104,-0.913991596451103,-0.906440017858343,-0.897512807800646,-0.912670368653093
"LOC106014153",0.314621649382336,0.186546410747583,0.789302447102225,0.606048735138298,1.21956334516425,0.739607894561155,1.32656105342735,0.558166303173397,1.0580593581201,1.53153558940362,1.26016336366051,0.488139364169485,2.52315813337611,2.01875701527884,0.36114570408061,0.469485350318141,0.61577316743361,0.678537834740232,1.04755453850237,0.687110973936658,-0.842582320568477,-0.778315423271492,-0.855292030740276,-0.895517456418266,-0.879714186748586,-0.872627795884388,-0.891930942552049,-0.896385079349252,-0.889365607709056,-0.891607338693313,-0.89968520997464,-0.88898040769301,-0.889915460011191,-0.897531609617704,-0.876895706201672,-0.868943073097255,-0.892328610815433,-0.893670733538876,-0.891863036529385,-0.894323110340216,-0.89236309196234
