"","cluster","cluster_col"
"LOC106012346","C4","#FB8072"
"LOC101848113","C4","#FB8072"
"LOC101845620","C4","#FB8072"
"LOC101856039","C4","#FB8072"
"LOC101854663","C4","#FB8072"
"LOC100533239","C4","#FB8072"
"LOC106011724","C4","#FB8072"
"LOC106011677","C4","#FB8072"
"LOC106011121","C4","#FB8072"
"LOC106011657","C4","#FB8072"
"LOC101848667","C4","#FB8072"
