"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC196Pp","AC197Pp","AC198Pp","AC208Pp","AC209Pp","AC210Pp"
"19","LOC101859366",238.45825863835,-4.18992588567096,0.249048655956918,-16.8237241416624,1.63546970604967e-63,1.01863939481009e-60,21.8447082952081,16.5315116901087,35.5951450126631,468.548472547774,448.112614517156,440.117099767189
"20","LOC118478845",262.999082190295,-4.22885147762701,0.253623245439022,-16.6737535051523,2.03410403816613e-62,1.2035793593829e-59,26.6990879163655,34.0962428608493,19.32307872116,609.842272635138,439.114369245727,448.919441762533
"21","LOC101845466",1103.05933450426,-9.99083162357329,0.621589978836003,-16.0730255694956,3.94359227316914e-58,2.22230814098493e-55,2.42718981057868,3.09965844189539,1.01700414321895,1529.61933255869,2210.86886319007,2871.32395888114
"22","LOC101851682",593.407875815032,-2.80234677367688,0.177914490330635,-15.7510878876084,6.75098718565593e-56,3.6314173797751e-53,129.85465486596,152.916483133506,161.703658771812,910.661330885655,944.815753500028,1260.49537373323
"23","LOC101853210",249.803145986728,-5.44800350203032,0.348893538801277,-15.6150885474936,5.74652859061442e-55,2.9567138844057e-52,9.70875924231473,7.23253636442257,16.2720662915031,316.315797614937,512.000155944301,637.28956046289
"24","LOC101855596",577.646311543193,-2.95087703173631,0.18955145502706,-15.5676833570866,1.20700180271815e-54,5.95152472223609e-52,148.0585784453,142.584288327188,107.802439181208,1004.55333997597,1235.45907576718,827.420147562316
"25","LOC101848115",491.612041240733,-3.64300991015222,0.250180220438431,-14.5615424903215,4.93319826694499e-48,2.33517873164108e-45,54.6117707380204,64.0596077991713,98.6494018922377,1020.96165224418,575.887697371446,1135.50211739935
"26","LOC101855230",332.070475809816,-2.95476331770278,0.204462049357072,-14.4514022381855,2.45633638849126e-47,1.11801095466944e-44,89.8060229914113,63.0263883185395,75.2583065982019,658.155636535979,472.407876750014,633.768623664753
"27","LOC101849413",151.803595411353,-5.43040161049993,0.381749498780746,-14.2250392674879,6.40683783403593e-46,2.80809329362893e-43,8.49516433702539,6.19931688379077,6.10202485931367,290.791756308833,273.546656251437,325.68665382772
"28","LOC101855274",369.839478155348,-3.34472838472094,0.235553718732194,-14.1994293391888,9.23614583283855e-46,3.90359106377898e-43,40.0486318745483,92.9897532568616,64.0712610227935,683.679677842083,538.994891758587,799.252653177216
"29","LOC101848340",172.553796341773,-4.89995288215774,0.347691502014977,-14.0928174941321,4.20446435963375e-45,1.71571142178986e-42,16.9903286740508,6.19931688379077,11.1870455754084,351.867140862725,420.218054175727,228.860891878938
"30","LOC101856068",238.867741063444,-7.19295074635285,0.512165214275701,-14.0442000859528,8.36070733370772e-45,3.29802035290324e-42,1.21359490528934,3.09965844189539,5.08502071609473,421.146681550723,488.604718238586,514.056772528077
"31","LOC101854894",317.344972751956,-2.48843120938299,0.180304021801829,-13.8013072837499,2.50272500467457e-43,9.34998479846117e-41,94.6604026125686,86.7904363730708,105.76843089477,522.331273871351,503.001910672872,591.517382087102
"32","LOC101862029",441.307904269248,-2.28012455774973,0.165219541642627,-13.8005742848608,2.52830415371605e-43,9.34998479846117e-41,161.408122403482,153.949702614138,136.278555191339,689.14911526482,691.965061372878,815.096868768835
"33","LOC101850506",1348.88467655294,-1.89358647559644,0.138920357247889,-13.6307342790483,2.62921491790097e-42,9.42852404195152e-40,567.962415675412,522.809057199688,625.457548079651,2317.21832143277,1950.81957484577,2109.04114208437
"34","LOC106011005",126.698654348258,-4.57908661703088,0.341439917687107,-13.4111050870951,5.20572938188e-41,1.81190004426965e-38,13.3495439581828,9.29897532568616,8.13603314575156,240.655246600413,212.358588405721,276.393538653795
"35","LOC101858348",183.233662457714,-6.37905791725288,0.481432121688086,-13.2501709584426,4.50176608665205e-40,1.52211142484115e-37,3.64078471586802,7.23253636442257,2.03400828643789,336.370401498305,250.151218545722,499.973025335527
"36","LOC118478682",229.724748456681,-3.18760752992227,0.242459710472648,-13.1469575861011,1.77160478429382e-39,5.82365861592585e-37,40.0486318745483,43.3952181865354,51.8672113041662,428.439264781039,300.541392065723,514.056772528077
"37","LOC101861104",117.650297928612,-4.90931609345525,0.378517192399314,-12.9698629072473,1.81354412002139e-38,5.80040030171166e-36,8.49516433702539,6.19931688379077,8.13603314575156,196.89974721852,255.550165708579,230.621360278007
