"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC177A","AC181A","AC182A","AC270A","AC274A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC179A","AC183A","AC184A","AC267A","AC271A","AC275A","AC305A","AC309A","AC313A"
"1226","LOC101859212",30.7036995423917,-2.06705892462724,0.46922865386635,-4.4052274037297,1.0567296302768e-05,0.000170162776190249,31.6762051294462,41.6328341768692,14.6025248663965,2.21076598422047,6.20281126115654,2.89940474882104,33.883469334763,36.0834849057798,63.0724231757936,49.917356693695,88.3371427573325,40.0137454977738,26.5155042355986,12.0083920288716,2.32678335155602,3.16429370195321,3.36738534783674,15.2345128051631,11.1816939303044,10.418825621611,106.950379970311,85.1411385754218,19.3440113743348
"1227","LOC101852662",8.99058431627805,-2.07873477297746,0.471959003290624,-4.40448165727101,1.06037112129101e-05,0.000170609997363709,4.08725227476725,14.5714919619042,5.21518745228445,1.10538299211023,0.775351407644567,1.93293649921403,10.9622989024233,1.12760890330562,15.2594572199501,12.7240320983928,37.19458642414,9.75945012140825,9.17844377386107,4.80335681154863,1.16339167577801,2.10952913463547,1.12246178261225,4.57035384154892,3.04955289008302,8.68235468467585,26.0635379759582,20.2716996608147,11.0537207853342
"1228","LOC101851479",35.0024404716304,-1.53305291492124,0.34811733497163,-4.4038396279409,1.06351575575127e-05,0.00017083749430465,35.7634574042135,29.1429839238084,33.3771996946205,30.9507237790865,4.6521084458674,10.6311507456772,43.8491956096933,20.2969602595011,51.8821545478302,54.8112151930769,102.285112666385,40.0137454977738,30.5948125795369,31.2218192750661,4.65356670311204,15.821468509766,3.36738534783674,22.8517692077446,16.2642820804428,20.837651243222,104.254151903833,45.9491858978467,51.5840303315594
"1229","LOC101859128",12.9843835612251,-2.09563836751029,0.475851080680504,-4.40397942253985,1.06283028984034e-05,0.00017083749430465,18.3926352364526,18.7347753795911,10.4303749045689,2.21076598422047,0.775351407644567,1.93293649921403,15.9451620398885,9.02087122644495,11.1902686279634,12.7240320983928,55.79187963621,25.3745703156615,18.3568875477221,11.2078325602801,0,1.05476456731774,1.12246178261225,3.04690256103262,5.08258815013836,12.1552965585462,40.4434209971766,13.5144664405431,10.1325773865563
"1230","LOC101855154",6.2008524073814,-2.01411302155351,0.457444039415942,-4.4029713976055,1.06778248008902e-05,0.000171383428633475,11.2399437556099,2.08164170884346,4.17214996182756,1.10538299211023,0.775351407644567,0.966468249607015,4.98286313746515,2.25521780661124,11.1902686279634,5.87263019925823,12.0882405878455,6.83161508498578,8.15861668787651,8.00559468591438,3.49017502733403,1.05476456731774,0,1.52345128051631,1.01651763002767,8.68235468467585,18.8735964653491,13.5144664405431,14.7382943804456
"1233","LOC101856303",37.8383019560159,-2.14148683278798,0.48661694858772,-4.40076499390967,1.07869902954541e-05,0.000172714324746841,32.698018198138,40.5920133224474,26.0759372614223,5.52691496055116,6.97816266880111,4.83234124803507,58.7977850220888,10.1484801297506,65.1070174717869,47.9598132939423,153.427668999578,34.1580754249289,38.7534292674134,15.2106299032373,1.16339167577801,4.21905826927094,2.2449235652245,15.2345128051631,13.2147291903597,26.9152995224951,141.102602145705,94.601265083802,31.3188755584468
"1234","LOC101853509",26.0828001361176,-1.57502367651586,0.357925673783663,-4.40042107029135,1.08041021948517e-05,0.000172848124417149,18.3926352364526,21.8572379428563,10.4303749045689,8.84306393688186,10.0795682993794,7.73174599685612,19.9314525498606,13.5313068396674,47.8129659558435,40.1296396949313,76.248902169487,17.5670102185349,13.2577521177993,14.4100704346459,5.81695837889005,11.6024102404951,13.469541391347,16.7579640856794,15.2477644504151,18.2329448378193,96.1654677043977,55.4093124062269,46.9783133376702
"1235","LOC106012471",20.1301336470263,-2.22218627736536,0.505063517615311,-4.39981546847326,1.08342968980707e-05,0.00017319084158843,9.19631761822632,14.5714919619042,7.30126243319823,3.3161489763307,2.3260542229337,8.69821424646313,16.9417346673815,13.5313068396674,39.6745887718702,18.5966622976511,99.4955186845745,12.6872851578307,16.317233375753,8.80615415450582,0,5.27382283658868,2.2449235652245,7.61725640258154,2.03303526005535,13.8917674954814,79.0893566167009,47.300632541901,34.0823057547803
"1236","LOC101845287",12.8133144526802,-1.50579437221502,0.342331990031666,-4.39863762681289,1.08932538069876e-05,0.000173851751542077,6.13087841215088,26.0205213605432,9.38733741411202,4.42153196844093,6.97816266880111,5.79880949764209,18.9348799223676,11.2760890330562,13.2248629239567,15.660347198022,32.5452631211225,11.7113401456899,21.4163688056758,20.8145461833774,6.98035005466806,4.21905826927094,1.12246178261225,4.57035384154892,2.03303526005535,5.20941281080551,17.9748537765229,24.3260395929776,23.949728368224
"1237","LOC118478751",12.9587797419241,-2.74388664456391,0.623795001603755,-4.39869931228926,1.08901585520026e-05,0.000173851751542077,19.4144483051445,11.449029398639,10.4303749045689,0,0.775351407644567,0,18.9348799223676,6.76565341983371,18.3113486639401,20.5542056974038,56.7217442968135,18.5429552306757,16.317233375753,9.60671362309725,0,1.05476456731774,0,0,0,7.81411921620826,44.9371344413073,18.9202530167604,17.5017245767791
"1238","LOC101858642",3.16673319463705,-2.84844055272045,0.647663470554071,-4.39802564483625,1.09240073883766e-05,0.00017420173979106,8.17450454953451,3.12246256326519,2.08607498091378,0,1.55070281528913,0,2.98971788247909,0,6.10378288798003,1.95754339975274,3.719458642414,4.87972506070412,10.1982708598456,3.20223787436575,0,3.16429370195321,0,0,0,0,7.18994151060917,10.8115731524345,3.68457359511139
"1239","LOC101857295",39.2911609360115,-1.07522175613701,0.244589410382396,-4.39602742594616,1.10250010044727e-05,0.000175670354988136,55.1779057093579,64.5308929741472,50.0657995419308,23.2130428343149,40.3182731975175,24.1617062401754,40.8594777272142,20.2969602595011,68.158908915777,29.3631509962912,95.7760600421606,30.2542953763656,32.634466751506,32.822938212249,20.9410501640042,22.1500559136724,19.0818503044082,18.2814153661957,27.4459760107472,15.6282384324165,71.0006724172656,72.978118778933,28.5554453621133
"1240","LOC101845185",22.0125790485272,-1.27295260270093,0.289601966745034,-4.3955247162449,1.10505488593299e-05,0.000175935431920073,22.4798875112199,26.0205213605432,27.1189747518792,16.5807448816535,14.7316767452468,10.6311507456772,11.9588715299164,11.2760890330562,24.4151315519201,11.7452603985165,38.1244510847435,35.1340204370697,17.3370604617376,11.2078325602801,12.7973084335581,12.6571748078128,7.85723247828573,4.57035384154892,15.2477644504151,19.1011803062869,43.139649063655,71.6266721348786,40.5303095462253
"1241","LOC118477738",115.451146450353,-1.43527578881927,0.326602339096147,-4.39456677741904,1.10993881432865e-05,0.000176570604935344,109.333998350024,119.694398258499,69.8835118606117,48.6368516528502,53.4992471274752,49.2898807299578,184.365936086211,76.6774054247821,187.182675231387,200.648198474656,298.486556053724,126.872851578307,141.755964951854,88.0615415450582,25.5946168671162,25.3143496156257,14.5920031739592,59.414599940136,50.8258815013836,83.3506049728881,289.395145802019,218.934356336799,133.565792822788
"1242","LOC101851962",27.2036043740761,-1.02243338695192,0.232734364272728,-4.39313459422686,1.11727907048009e-05,0.000177595196533156,32.698018198138,41.6328341768692,28.162012242336,9.9484469289921,10.8549197070239,15.4634919937122,27.9040335698048,11.2760890330562,27.4670229959101,18.5966622976511,39.054315745347,28.3024053520839,45.8922188693053,22.4156651205603,19.7776584882262,15.821468509766,16.8369267391837,22.8517692077446,23.3799054906365,20.837651243222,70.1019297284394,43.246292609738,33.1611623560025
"1243","LOC106012504",18.5021544444878,-1.80597572264497,0.411146719748381,-4.39253345800791,1.12037381476588e-05,0.000177943844337152,36.7852704729053,32.2654464870736,27.1189747518792,33.161489763307,13.1809739299576,2.89940474882104,13.9520167849024,1.12760890330562,22.3805372559268,16.6391188978983,39.9841804059505,44.893470558478,34.6741209234752,16.0111893718288,3.49017502733403,6.32858740390641,4.48984713044899,6.09380512206523,0,3.47294187387034,26.0635379759582,20.2716996608147,20.2651547731126
