"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC177A","AC181A","AC182A","AC270A","AC274A","AC179A","AC183A","AC184A","AC267A","AC271A","AC275A"
"14","LOC118478682",354.655290071805,-3.44777640946112,0.473190620760207,-7.28623150628404,3.18745074281422e-13,3.63665362249797e-10,33.161489763307,65.9048696497882,63.786904474063,53.8149218846236,59.7632718751978,781.799206122823,569.572866351577,979.909136220492,921.688024712366,263.278066177167,108.529433558448
"15","LOC101855230",566.643286940713,-3.62628809819793,0.500553774793635,-7.24455249526976,4.33869343172097e-13,4.62013001232527e-10,64.1122135423935,61.2527612039208,46.3904759811367,73.7463744344842,148.844375236342,1086.60782517666,900.768940489346,716.130617306614,2077.98754662424,908.76676124474,148.468265107957
"16","LOC106013224",73.1571406085596,-2.52748327989476,0.354695192033833,-7.12578951353159,1.03485761597016e-12,1.03311129374321e-09,15.4753618895433,19.3837851911142,29.9605157378175,14.9485894123954,21.4245691628068,108.195425847355,78.0525779815124,123.470796087347,190.431410064538,144.34550346393,59.0400118557958
"17","LOC101856068",432.735785550724,-5.27228042794498,0.742711551552868,-7.098691836584,1.25943280520679e-12,1.16113790404988e-09,18.791510865874,6.97816266880111,15.4634919937122,45.8423408646794,13.5313068396674,1604.31712089788,1218.25307525198,1235.83042265608,380.862820129077,200.253973115452,19.9694157747544
"18","LOC101860873",339.230375518405,-3.73928230071744,0.528235292502257,-7.07881952189226,1.4538757954672e-12,1.16113790404988e-09,47.53146866074,40.3182731975175,59.9210314756349,40.8594777272142,30.4454403892517,752.714414228373,1122.26949962607,835.111566263512,540.825204583289,179.923620514898,81.614134035953
"19","LOC101861355",2509.97076085509,-6.83230073446437,0.965012257768854,-7.08001445521626,1.44139425706649e-12,1.16113790404988e-09,50.8476176370707,39.5429217898729,67.652777472491,20.9280251773536,21.4245691628068,3724.01675416541,9175.39697109698,3685.04203231601,10012.1218155532,791.867233791557,20.837651243222
"20","LOC101862822",136.713954372147,-4.76756406230802,0.673012984348934,-7.08391096929596,1.40141961688069e-12,1.16113790404988e-09,4.42153196844093,7.75351407644567,14.4970237441052,9.9657262749303,7.89326232313933,342.037152678735,191.967151251828,347.963152609797,347.346891957718,225.666913866143,4.34117734233792
"21","LOC101845832",39.4887429562719,-4.27501206277755,0.606911380539131,-7.04388185797402,1.86956679393553e-12,1.42202811426344e-09,4.42153196844093,1.55070281528913,4.83234124803507,4.98286313746515,2.25521780661124,79.1106339529047,60.1215803371109,80.8172483480818,108.165040916658,80.3048927721862,7.81411921620826
"22","LOC101847784",1297.764163707,-3.25695274584624,0.46371089583383,-7.02367094478057,2.16113446401792e-12,1.5088064735964e-09,195.652789603511,229.504016662792,213.58948316315,226.221986440918,279.647008019794,2452.42965254005,2170.7054795399,2209.0047881809,2580.72646919463,3494.78761203514,223.136515396169
"23","LOC101861096",192.711772614819,-1.66014247440947,0.236388748675047,-7.0229335521023,2.17257552699663e-12,1.5088064735964e-09,89.5360223609289,100.020331586149,83.1162694662033,69.7600839245121,99.2295834908945,326.913060893621,318.538899329956,270.513289609552,327.542025311006,277.509312997555,157.150619792633
