"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC190A","AC191A","AC192A","AC193A","AC194A","AC195A","AC202A","AC203A","AC204A","AC205A","AC206A","AC207A"
"32","LOC101847240",98.057205440978,-0.751212383707038,0.140865976938016,-5.3328163410075,9.6701103834217e-08,3.3827254885007e-05,125.508507750623,110.503720980558,144.033859720907,66.9599353488756,65.46193846795,63.4648789156349,117.673931671773,118.25243168692,121.863990933473,85.11907826241,77.2993385754712,80.5448529771404
"33","LOC106013573",216.535244248594,-0.878337145634872,0.167459247495274,-5.24507997481393,1.56214551173177e-07,5.2989869267653e-05,308.875547443023,279.622459176891,292.933728216169,127.318186930961,136.160832013336,107.313340711892,231.145222926697,300.25031483007,270.050603908575,177.139703410961,160.055101050387,207.55789036417
"34","LOC101855562",581.544603421703,-1.07183740911806,0.205158969532358,-5.22442382880562,1.74698222431967e-07,5.75168206442189e-05,531.408362603703,650.53060090294,668.589605596373,255.579471542891,403.245540962572,323.09392902505,1043.09535146193,1011.6125991967,823.800578710274,378.434820923417,449.245567720974,439.898812413613
"35","LOC101849748",263.616774443674,-0.704285918308272,0.135805348342937,-5.18599544790979,2.14864057123287e-07,6.87196644410879e-05,421.922217544648,307.488614902424,351.325833508429,181.074754746255,192.894512018893,190.394636746905,272.331099011817,293.783384972192,312.946728717157,232.352078500092,205.525300212429,201.362132442851
"36","LOC101850388",1692.05711429816,-0.673099479541167,0.132266969931629,-5.08894609054024,3.60058943297358e-07,0.000109995866249964,2697.09771974744,1786.31667219877,2253.93526428122,1364.6623443637,1387.79309552054,1265.83585764457,2176.9677359278,1876.3335059073,1688.5474583742,1157.15936124303,1392.29749834172,1257.73885802765
"37","LOC101862987",197.312654202208,-0.609679338663143,0.119848037655335,-5.08710322330424,3.63573972775474e-07,0.000109995866249964,204.730189947825,245.990891921939,254.005658021329,160.326605764913,177.183646786585,160.39305762315,250.477368844202,215.256379555097,260.301484633897,161.036094009965,142.776425368811,135.274047948787
"38","LOC106011374",15.0092890406903,-2.80819686273366,0.553933745931642,-5.06955368463904,3.98749655645114e-07,0.000117463253823458,10.6815751277126,18.2571365098314,6.81241228409696,2.82929304291024,6.10978092367533,4.61562755750072,48.7506288354488,30.4869550442841,42.8961248085823,1.15025781435689,5.45642389944502,2.0652526404395
"39","LOC101847838",619.507245713724,-0.704701446026664,0.139237725921522,-5.06113872057816,4.1675984074764e-07,0.000119620760444336,750.380652721811,645.72609129509,789.266623200376,389.499342240643,393.644456653939,406.175225060063,816.993297035451,792.660831151386,812.101635580661,494.610860173463,587.474973173581,555.552960278225
"40","LOC101845692",122.427854026758,-0.918381499057397,0.181683184030156,-5.05485141049136,4.30725982924027e-07,0.000120538666321289,170.905202043402,161.431522823772,168.363903592682,92.4235727350678,85.5369329314546,98.0820855968902,110.109178921445,212.484838187434,137.462581772957,71.3159844901273,69.1147027263036,91.9037424995577
"41","LOC101851605",251.456157482521,-1.85317295755448,0.369903083960698,-5.00988782713522,5.44617700147533e-07,0.000148693915498817,289.292659708883,379.556259020179,272.496491363878,33.9515165149229,236.535804330859,91.1586442606392,330.327536764334,378.777320247166,713.635530906415,82.8185626336962,111.856689938623,97.0668741006564
