"","AC169A","AC170A","AC174A","AC199A","AC200A","AC201A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC176A","AC180A","AC205A","AC206A","AC207A","AC208A","AC209A","AC210A","AC163A","AC164A","AC172A","AC187A","AC188A","AC189A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC178A","AC186A","AC193A","AC194A","AC195A","AC196A","AC197A","AC198A"
"LOC106011005",2.03680315381867,-0.237618511016398,0.222900910763117,0.165515425479416,0.228548589850234,-0.0447914032207522,1.26152670635241,0.0585390319932615,1.12640555401796,0.94263633990789,1.1717211220893,0.34012984933475,1.49086770710732,0.136589724511468,1.2281131601915,3.07220997926146,1.90602438387715,-0.302672243150258,0.709666695031898,-0.0384046647873638,-0.600941461346729,-0.79052769053979,-0.780474049296368,-0.780312242454038,-0.786079908666334,-0.786104734995544,-0.781476005760399,-0.782887018821272,-0.786165800163036,-0.778884266795073,-0.779329421508803,-0.782835218813468,-0.784080539925203,-0.785045666398949,-0.780860434710693,-0.787763470600943,-0.782433609871975,-0.770977054160582,-0.781946399744007,-0.785586516839817
"LOC101859366",1.32741920181896,0.339454751605487,0.588812443463234,0.471852741576652,-0.0780472046361256,0.399400335347751,0.243660016167882,1.34207820197999,0.46618920111029,1.36029075009496,0.695026409417529,0.829969383823402,0.488735448905239,0.82229374534063,1.27310216573044,2.9774694248442,1.58997684385412,0.303856100736477,0.327098721997209,0.0507480408891358,1.12324303254757,-0.779826673613396,-0.0489136730018706,-0.986654256375374,-0.972146186885508,-0.972319414981635,-0.949044939434624,-0.945971370231915,-0.974718499386295,-0.915167840358255,-0.949947275994948,-0.914237651787817,-0.960445817422427,-0.96020208538757,-0.908959287874146,-0.900726820340406,-0.932667720571074,-0.945226086093227,-0.965451045179698,-0.960003111694842
"LOC101860873",1.21030517111292,0.390381590908467,0.6499955980355,0.480299313763444,0.212130529032016,0.0319655904758,0.499660907494624,2.09699213762777,0.867142162706789,0.875342503809649,1.78330010244717,1.07167384006915,0.767201326729555,0.389772589916095,1.10476997713085,1.91677424404023,1.5891437429309,0.510082014180393,1.01449121727934,0.515007933950807,-0.369454473744664,-0.914987264097535,-0.871486514980735,-0.96453576551341,-0.946365976007216,-0.945340066509249,-0.938536000351761,-0.943986378476719,-0.955380417576785,-0.871160686622609,-0.890696704888008,-0.84150545349798,-0.90698246792539,-0.937270895205002,-0.942498717481161,-0.943808773649219,-0.946319473517334,-0.923882145246769,-0.965008776322257,-0.957225542027691
"LOC101847465",1.19055937494777,0.618805466462157,1.28656490651343,0.43040319187761,0.267470114217982,0.129039457748225,0.891623533557047,1.10119711002407,0.372011302393972,1.44795750071497,1.29554200394902,1.24517153624151,1.6732376226126,1.24418011377205,0.993466455774733,0.871643441454832,0.898739180938466,0.372549924737718,0.565189920282828,0.36849346442968,1.4016951714726,-0.973713494529913,-0.956099065311692,-0.982358833518693,-0.991907481586529,-0.983186863416092,-0.990469267518481,-0.986651301490785,-0.991490385549122,-0.97654808800223,-0.983480493746804,-0.981308559271561,-0.9768062292244,-0.983883224364088,-0.983913959368458,-0.966247972572691,-0.98843193336828,-0.991128832407805,-0.987342483974105,-0.99057232490155
"LOC101853210",4.77731895237926,0.722078308593943,1.70895504778717,-0.158921709326953,-0.0746202088222034,0.100574598668719,0.524962451749036,0.620319968719644,0.64051469717359,0.147541254860598,1.44756530860327,0.0657794938108273,0.681395189444128,-0.10576807307713,0.261845909855758,0.816903729731246,0.245369982922895,-0.387984580230506,0.271058756037812,0.227653602356195,-0.317546773562577,-0.62996598656118,-0.638918542668064,-0.636660071119211,-0.648110481349243,-0.645282991525321,-0.650587123221932,-0.650404989827137,-0.63534570631838,-0.650013204985216,-0.649914197835311,-0.644172429852227,-0.638594062583926,-0.63337343726258,-0.651664375238318,-0.62929199804485,-0.646938615120107,-0.648019288368142,-0.640382784486602,-0.647355621306973
"LOC118477565",-0.66746237968156,-0.61036727787283,-0.666743283484718,1.13324458001046,1.84660923426485,1.84197323959333,1.31999267355783,-0.711221671520563,1.24372220679313,-0.718818283566825,0.860232693409458,1.40795323850748,-0.664352122048904,2.28806938938947,1.34597545605488,0.802867590199535,0.935382230871566,0.485754010531598,0.451471227476829,1.89644964461275,-0.611576698121615,-0.609143827421272,-0.657807176981644,-0.712476570767505,-0.731156028611815,-0.713849930630737,-0.697240132526352,-0.652491421733152,-0.708597838842286,-0.707733821114997,-0.701380841204403,-0.708955542909258,-0.701322971453575,-0.698350041326933,-0.71576911884457,-0.708778340473584,-0.67172660714928,-0.693425185663656,-0.702977082985352,-0.715973218335774
"LOC101857128",-0.000837762824295629,-0.136676898319005,-0.0900702687531349,0.251308681941933,0.92894423029618,0.704150032964372,1.03663268037115,0.415313987397793,1.39344708515169,0.829473559981604,1.25097883431117,1.71394279630288,0.308594218834444,0.86010877144095,1.5226140528891,2.19174284175133,1.14664115221388,1.54352283442726,0.626815548619582,0.692456768830957,0.374656240706133,-0.941913283962978,-0.421614632715319,-0.959130622349361,-0.956766983209178,-0.960856629982733,-0.957106886251782,-0.965487415158481,-0.963196757083834,-0.931427082549663,-0.945609862155512,-0.942739204459119,-0.957649177592242,-0.929810611824178,-0.958828011882803,-0.951106615969526,-0.957339445468821,-0.945491129086979,-0.959773513939706,-0.957911522893756
"LOC101846325",-0.0852535525849662,-0.157035612720537,-0.21587480460861,1.62603258899524,0.20484364973389,-0.0914967904133106,1.37606559649037,0.479809971934301,0.248439582217747,0.395336438404691,0.641402947163012,1.5502630764558,-0.143707730896625,0.707114039142611,1.14791383805163,2.52060657619683,2.66611449187273,0.466799649612993,1.60871827428971,-0.0233873372810022,0.572335876957782,-0.817252244986767,-0.812928073674706,-0.815659619927853,-0.815891079810458,-0.815737350796283,-0.815690043724697,-0.815798355150545,-0.815765457560239,-0.81650764764143,-0.813748224855332,-0.817075936407472,-0.816141697530934,-0.814470255361155,-0.816791891545439,-0.815742115140755,-0.813738995825336,-0.815528101938393,-0.814716150265718,-0.815857526870783
"LOC101855937",1.16892007680495,-0.0268619594931964,0.951002877120684,0.270958641645959,0.434566496505772,1.01636152835077,0.966252953344172,1.19903918816199,2.14365696480494,0.320565216182484,1.01702643090941,0.264215576536514,1.67124167954351,0.0590653149796322,1.05528702914545,1.56965409511125,0.870588251197574,-0.0770868770487327,1.87771029979407,0.876607878985255,-0.371253323715961,-0.887050220099632,-0.936869599525143,-0.933063612662353,-0.898007779744359,-0.945604459535286,-0.860176001777233,-0.882901059458303,-0.855027492906935,-0.94205029937686,-0.909369507116374,-0.930153574648117,-0.88726589382144,-0.947003300557979,-0.884563399269212,-0.886330768078302,-0.902905661960934,-0.925958772370352,-0.905953981496745,-0.937262954460945
"LOC101853719",0.599099645767148,-0.0777642761493109,0.227392818860677,-0.0375956905992905,-0.0372801071105212,-0.113676818846997,1.10679528524235,0.763957744237892,0.718379244497736,0.358585891265638,0.373009699872583,0.555990844880344,0.494191999273703,0.550016938128555,2.56910688860005,2.81816676707179,3.1337126034544,-0.274905536086058,0.573613550892948,-0.0307487708808138,-0.313804883788298,-0.736527861255333,-0.745544305044223,-0.726093945812496,-0.728867702238871,-0.734917432590866,-0.728716389830538,-0.737758947930628,-0.742915967702965,-0.733519269693731,-0.733103676486122,-0.735103642198955,-0.745544305044223,-0.714054975050387,-0.745544305044223,-0.719614544561731,-0.729962456005728,-0.742994965574685,-0.735709973960208,-0.73974917255861
"LOC101845466",0.985417371163923,-0.122970212190595,-0.0602849887673553,0.917832226042556,-0.181028705012165,0.235609122059048,0.097497047960499,2.11417185356669,0.51028843900264,-0.0481045671803663,0.737434608259921,1.37493563859899,1.36799168100613,0.21737257578316,1.17999985615469,2.6134815609699,2.30518321349316,0.310596089508641,0.817522360173204,0.503260876084609,0.0926855156415611,-0.841816893912255,-0.83843795685871,-0.841950023259382,-0.840967099535355,-0.841897757223763,-0.841398972249937,-0.840708644401671,-0.841294938095114,-0.838331597077199,-0.84107151113914,-0.842513736935555,-0.84042847703523,-0.833752496523917,-0.841923188082639,-0.839234460699218,-0.838900970179566,-0.841922653755213,-0.842513736935555,-0.839826448419429
