"","cluster","cluster_col"
"LOC101856344","C2","#FFFFB3"
"LOC101850439","C2","#FFFFB3"
"LOC106012686","C2","#FFFFB3"
"LOC106013374","C2","#FFFFB3"
"LOC101852443","C2","#FFFFB3"
"LOC101858324","C2","#FFFFB3"
"LOC106011005","C2","#FFFFB3"
"LOC101852128","C2","#FFFFB3"
"LOC101846325","C2","#FFFFB3"
"LOC101846454","C2","#FFFFB3"
"LOC101862489","C2","#FFFFB3"
"LOC101853719","C2","#FFFFB3"
"LOC118477435","C2","#FFFFB3"
"LOC106014181","C2","#FFFFB3"
"LOC101846884","C2","#FFFFB3"
"LOC101846245","C2","#FFFFB3"
"LOC101851949","C2","#FFFFB3"
"LOC101862659","C2","#FFFFB3"
"LOC101849875","C2","#FFFFB3"
"LOC101861914","C2","#FFFFB3"
"LOC118478603","C2","#FFFFB3"
"LOC101857673","C2","#FFFFB3"
"LOC101849699","C2","#FFFFB3"
"LOC101859535","C2","#FFFFB3"
"LOC118478883","C2","#FFFFB3"
"LOC101852684","C2","#FFFFB3"
"LOC106011452","C2","#FFFFB3"
"LOC101853728","C2","#FFFFB3"
"LOC101853815","C2","#FFFFB3"
"LOC106011500","C2","#FFFFB3"
"LOC101862085","C2","#FFFFB3"
"LOC101855596","C2","#FFFFB3"
"LOC106013690","C2","#FFFFB3"
"LOC101850631","C2","#FFFFB3"
"LOC101852365","C2","#FFFFB3"
"LOC101853210","C2","#FFFFB3"
"LOC101846602","C2","#FFFFB3"
"LOC101854617","C2","#FFFFB3"
"LOC118478052","C2","#FFFFB3"
"LOC101853315","C2","#FFFFB3"
"LOC101849980","C2","#FFFFB3"
"LOC101845616","C2","#FFFFB3"
"LOC101860071","C2","#FFFFB3"
"LOC101846993","C2","#FFFFB3"
"LOC101847524","C2","#FFFFB3"
"LOC101849272","C2","#FFFFB3"
"LOC118477792","C2","#FFFFB3"
"LOC101856330","C2","#FFFFB3"
"LOC101852892","C2","#FFFFB3"
"LOC101849872","C2","#FFFFB3"
"LOC106011115","C2","#FFFFB3"
"LOC101848572","C2","#FFFFB3"
"LOC101858337","C2","#FFFFB3"
"LOC106012940","C2","#FFFFB3"
