gene,Fish_kME
LOC101848156,0.580704538105943
LOC106014199,0
LOC118477191,0.271658200354499
LOC101855535,0
LOC101855987,0
LOC101856227,0
LOC101848622,-0.0708125619449002
LOC101849014,0
LOC101856701,0.303136425236041
LOC101856938,0
LOC101857155,0
LOC101849658,0
LOC101857374,0
LOC101850126,0
LOC101857611,0
LOC101850376,0
LOC101858075,0
LOC101858315,0
LOC101858532,0.483897863480988
LOC101858752,0
LOC100533454,0
LOC101859209,0.258340585973408
LOC101860135,0.526518901508893
LOC101851086,0
LOC101851541,0
LOC101860536,0
LOC101851777,0
LOC101861475,0
LOC101861855,0
LOC101862078,0.777571982935512
LOC101851992,0
LOC101852216,0
LOC101852658,0
LOC101852888,0
LOC101863308,0.794201806797444
LOC101863703,0.413569716975719
LOC101863939,0
LOC101864426,0.301336858113888
LOC101854539,0
LOC101854989,0
LOC101845138,0.436212479882152
LOC101845368,0
LOC101845587,0.186231394578242
LOC101846543,0.915360370035064
LOC101846778,0
LOC101847158,0
LOC101847778,0.627326489687817
LOC101848250,0.271014000335844
LOC101856140,0
LOC101848478,0
TRNAA-AGC,0
LOC101856852,0.354569081551979
LOC101848704,0
LOC101848929,0.485777204315665
LOC101849171,0
LOC101857527,0.629923333884485
LOC101860059,0.0606164771602032
LOC101858980,0
LOC101859369,0
LOC101859606,0
LOC101860291,0.490876605748312
LOC101860537,0.080199262947393
LOC101860776,0
LOC101861403,0
LOC101861778,0
LOC101861010,0
LOC106011226,0
LOC101861248,0
LOC101863309,0
LOC101863784,0.718569956265152
LOC101864033,0.509787289418667
LOC101864427,0.652158274114508
LOC101846779,0.897912086460956
LOC101847003,0
LOC101847387,0
LOC101847622,0
LOC101862384,0
LOC101847848,0
LOC101848252,0.342030565095226
LOC101862620,0
LOC101848479,0
LOC101849172,0.954796593105366
LOC101863067,0
LOC101863310,0
LOC106011157,0
LOC101849806,0.608476377494011
LOC101850047,0
LOC106011166,0
LOC101850449,0.411212738163718
LOC101850685,0
LOC101851456,0
LOC101852367,0.300880886186337
LOC101853043,0.480499081048177
LOC101853591,0
LOC101854540,0
LOC101853827,0.0333635298408951
LOC101855066,0.331335368493661
LOC118477356,0
LOC101856228,0
LOC118477376,0
LOC101864493,0
LOC101857074,0
LOC101845435,0.967843857524958
LOC101857450,0
LOC101858533,-0.0438258233955145
LOC101858753,0
LOC101845890,0.618528198906991
LOC101859210,0.397657965073111
LOC101859607,0.578195998713573
LOC101857451,0
LOC101857914,0.775188762849304
LOC101847004,0
LOC100533392,0.271058377775102
LOC101858586,0.248245594439628
LOC101847229,0
LOC101858816,0
LOC101859287,0
LOC101859986,0.342787998210816
LOC101848084,0
LOC101860705,0
LOC101848327,0
LOC101860936,0
LOC101848706,0
LOC101848931,0
LOC101850522,0
LOC118477399,0
LOC101850764,0
LOC101851543,0
LOC101852061,0
LOC101852288,0
LOC101852520,0
LOC101853360,0
LOC106011319,0
LOC101853593,0
LOC101854058,0
LOC101861626,0
LOC101854298,0
LOC101854837,0.402688970196382
LOC101855224,0.293539063716644
LOC101855913,0.741219581109525
LOC101856141,0
LOC101863472,0
