gene,logP
LOC101851538,4.53463907103108
LOC101864344,-9.89967445163592
LOC101851775,0.015728819070899
LOC106012852,-0.40797071938537
LOC101851991,-0.0283666270857932
LOC101852215,-1.22269689520213
LOC101845508,0.0843018094353001
LOC101852737,-0.179159532306692
LOC101852887,-0.627437627159338
LOC101845733,-0.710343547819261
LOC101853269,0.361240536261393
LOC101853653,-1.71165537337639
LOC101854125,0.910773036669678
LOC101846173,-0.444541716540709
LOC101846389,7.41112797071335
LOC101846614,-2.62538203237005
LOC101854608,0.15270826207706
LOC106012383,-3.30230159725289
LOC118477135,-1.21007771433856
LOC101847539,-1.3511981309503
LOC101847774,-0.66031203643305
LOC101848005,-7.43577820252335
LOC101848559,0.64419351910798
LOC101849256,-2.4427684391511
LOC101848789,-5.43956828693028
LOC106014231,-0.613525218901236
LOC101849013,-0.555544926381977
LOC101849255,-0.0696855265490042
LOC101849803,1.17579923683453
LOC106013019,-3.74848890223762
LOC101850213,2.66473942561278
LOC101851084,1.05035608744021
LOC118477211,-0.814338306899374
LOC106013075,-6.01602143431389
LOC101851540,2.69439199602151
LOC101851776,0.132934934849322
LOC101852365,-4.37377223571481
LOC101852582,-3.41821857028318
LOC106014233,-5.76187217869569
LOC101852806,-2.12482782451424
LOC101853201,-9.98530543705982
LOC101850448,-1.11171671471611
LOC101850684,-9.89096049526683
LOC101851159,-0.536779421080818
LOC101851378,-4.32656667073776
LOC101851615,-0.628979995341693
LOC101851840,-8.93196042329276
LOC101852060,-0.306228777822035
LOC101853654,-0.635072841984752
LOC101853894,0.665895991104639
LOC101854538,0.599722925396687
LOC118478780,0.982666999893846
LOC101854909,-0.652276486192777
LOC101856541,1.06877234216305
LOC101856765,0.255369053376466
LOC106013452,1.2298340471519
LOC101857373,0.890984731171396
LOC101852287,-3.86470965549135
LOC101852740,-1.8802480125147
LOC101857610,0.153590514534508
LOC101857842,-1.2656166099476
LOC101858074,1.22193757790295
LOC101858314,10.4687425134012
LOC101858531,0.165960006532419
LOC101858750,3.39448809849399
LOC101852969,0.374777260960798
LOC101853203,0.29247812574279
LOC101858902,-3.33090791066137
LOC101853421,-1.10024475049488
LOC101859139,-3.32673702886915
LOC101853656,-2.35938864650525
LOC101859283,-0.980395821198011
LOC101859525,-3.97611539284043
LOC101859746,0.76795218991741
LOC101859985,1.72210660037085
LOC101860213,0.0451682074486878
LOC101860456,4.64103457077847
LOC101853896,-7.79002308914317
LOC101861008,-1.76077069869503
LOC101861245,7.81608485575592
LOC106014240,-2.56716480139459
LOC101861474,-5.69615187746373
LOC101862226,-0.957945021648704
LOC101863392,-1.09410633977643
LOC101854373,-1.96263812707655
LOC118477217,-0.211333732190297
LOC101854610,3.34868214038119
LOC106014179,0.172818259177235
LOC101854836,-0.722124456095762
LOC106014243,-2.87429251036568
LOC101863630,-1.50407189673503
LOC101863857,-1.45870293504519
LOC101864107,0.0925896851294297
LOC101864346,-0.27387587083645
LOC101864571,-0.768994662255495
LOC101845050,NA
LOC101855302,0.496515435938641
LOC101845888,-2.22333647404778
LOC101846256,0.138321674754537
LOC101846470,5.53510848080795
LOC101846699,-2.18681663042326
LOC101846928,-0.409859624267688
LOC101847157,-0.175353408974882
LOC101847776,1.15084918350681
LOC101847385,0.595421014758128
LOC101848156,0.263943849211125
LOC106014199,-0.725014919100653
LOC118477191,-0.810543467595302
LOC101855535,-4.91612629115527
LOC101855760,-0.230316799346219
LOC118479209,-4.28145236337783
LOC101855987,-3.80889667132345
LOC101856227,-1.32307908161669
LOC101848622,-0.0609845345478032
LOC101849014,-0.0279588174791207
LOC101856701,-2.36568414267151
LOC101856938,18.7398351802588
LOC101857155,1.99583697378591
LOC101849658,-0.528478961080223
LOC101857374,0.0486454021467514
LOC101850126,-0.900239596310955
LOC101857611,4.28774650207866
LOC101850376,-5.50998424916105
LOC101857843,-1.37400271167908
LOC101858075,2.03433607628143
LOC101858315,-0.248050938177479
LOC106011065,-1.80598747377563
LOC101858532,2.67247512409998
LOC101858752,1.72128569359234
LOC106011020,-1.18576202784628
LOC100533454,3.60473089695479
LOC101858979,-4.44321342218332
LOC101859209,0.820606602012492
LOC101860135,-1.0315792780173
LOC106011097,-0.205845105209469
LOC101851086,4.31908945915029
LOC101851541,-26.7968191620876
LOC118477235,-12.0916816798155
LOC101860536,-0.0503234480591769
LOC101851777,-5.24867495049874
LOC101861246,-9.01031454497363
LOC106011100,0.337151573484864
LOC106011102,-0.621845146442588
LOC101861475,-3.48674197375791
LOC101861855,0.0196953708636599
LOC101862078,0.481729975523617
LOC101851992,-0.454616475706965
LOC106011076,0.523806334618659
LOC101852216,-0.442966977132316
LOC101852441,-0.74418669095821
LOC101852658,-14.482308832867
LOC101863066,-1.19510522489769
LOC106011104,-3.57790666238997
LOC101852888,0.264084727840529
LOC118477287,-17.3843873538484
LOC101863308,0.15622687364992
LOC101863703,-0.573868588173273
LOC101863939,0.361332946203062
LOC101853131,-6.50836432241127
LOC101864184,-10.2685518692403
LOC101853826,-0.304175063138427
LOC118477276,-0.846790892792883
LOC101864426,-1.72012790239036
LOC101864656,-1.02471840220404
LOC106011080,-0.0970935768498125
LOC101854297,0.701541206514252
LOC101854539,-4.11511836911072
LOC101854989,-14.8100551411636
LOC101845138,0.0905778415709369
LOC101845368,-0.780359098439155
TRNAT-UGU,-9.13383436013241
LOC101845587,0.465397862114505
LOC101846543,-3.50648326060602
LOC101846778,0.396239396053309
LOC101847158,0.143803791629167
LOC101847386,-9.51777262342856
LOC101847778,1.86632488140061
LOC101855453,-0.0844784148990474
LOC101848007,-0.751509666948059
LOC101848250,5.07053191846974
LOC101856140,0.241389185894588
LOC106011107,-0.950035746295662
LOC101848478,-10.2340942989309
TRNAA-AGC,-6.83058983489568
TRNAQ-CUG,-1.88798309939757
TRNAQ-UUG,-18.142302251931
LOC101856852,5.24477654368403
LOC101848704,4.0630034189279
LOC106011085,-0.684391644334601
LOC118477140,-1.42361189360651
LOC101848929,-0.274181950636109
LOC101849171,-0.302858944049282
LOC101857527,2.31378645891135
LOC101860059,-0.160108841878631
LOC101858980,-0.373039708416179
LOC101859369,-0.355002335922692
LOC101859606,5.88141179801507
LOC101860291,-4.70745126024682
LOC101860539,-3.09070917892294
LOC101860537,-0.384525179995666
LOC101860776,0.252743845122648
LOC101861403,-2.27763766260838
LOC101861778,1.06882703271246
LOC101861010,1.81243835261722
LOC106011226,-0.18896323208357
LOC106011126,-9.4008212779404
LOC101861248,-0.615402245636495
LOC101863309,-6.58455111965684
LOC101861477,-5.13176675398788
LOC101863784,0.739441129485097
LOC101864033,2.60518471456516
LOC101864427,-0.0797113449882617
LOC101864657,-0.512749873662553
LOC101846779,-1.24851462668166
LOC118477322,-0.155143505121607
LOC101845658,0.267340637018831
LOC101847003,-3.83238105395263
LOC118477370,-0.965579399094601
LOC101847387,1.88339746595413
LOC101847622,0.0239638779459167
LOC101862384,-10.1485223586538
LOC101847848,-2.45869495782989
LOC101848252,1.3931470672826
LOC106011222,-9.50795497402194
LOC118477111,-6.01318858136398
LOC101862620,-0.38735213015751
LOC101848479,0.151636347807519
LOC101849172,-4.26837116840777
LOC101849421,-2.93546204055722
LOC101863067,0.311061714747501
LOC101863310,-0.711169645510842
LOC106011157,-4.43466923385164
LOC101849806,0.540554735313365
LOC101850047,-0.0674094883784293
LOC106011166,3.5918273792616
LOC101863553,-3.2260273788465
LOC101850449,-1.48946681093403
LOC101863785,-8.60553528501167
LOC101850685,-1.12610606619969
LOC101851456,-2.96829123915318
LOC101851685,-3.37910296395406
LOC101852367,-1.9061877604701
LOC101853043,0.315617531726423
LOC101853591,-0.823714472378402
LOC101854540,-2.22793110721613
LOC101853827,-0.482247665632156
